gene_id,gene_name
Zm00001eb005070,Zm00001eb005070
Zm00001eb005080,Zm00001eb005080
Zm00001eb005100,Zm00001eb005100
Zm00001eb005110,gpat16
Zm00001eb005120,Zm00001eb005120
Zm00001eb005130,IDP7478
Zm00001eb005140,Zm00001eb005140
Zm00001eb005150,Zm00001eb005150
Zm00001eb005160,Zm00001eb005160
Zm00001eb005170,mmp68
Zm00001eb005180,Zm00001eb005180
Zm00001eb005190,Zm00001eb005190
Zm00001eb005200,esr2
Zm00001eb005210,vq1
Zm00001eb005220,Zm00001eb005220
Zm00001eb005230,Zm00001eb005230
Zm00001eb005240,Zm00001eb005240
Zm00001eb005250,A0A1D6JQ00
Zm00001eb005260,Zm00001eb005260
Zm00001eb005270,Zm00001eb005270
Zm00001eb005280,Zm00001eb005280
Zm00001eb005290,Zm00001eb005290
Zm00001eb005300,ms26
Zm00001eb005310,sdg122
Zm00001eb005320,Zm00001eb005320
Zm00001eb005330,rpe1
Zm00001eb005340,Zm00001eb005340
Zm00001eb005350,Zm00001eb005350
Zm00001eb005360,Zm00001eb005360
Zm00001eb005370,Zm00001eb005370
Zm00001eb005380,Zm00001eb005380
Zm00001eb005390,Zm00001eb005390
Zm00001eb005400,cox10b
Zm00001eb005410,Zm00001eb005410
Zm00001eb005420,Zm00001eb005420
Zm00001eb005430,Zm00001eb005430
Zm00001eb005440,Zm00001eb005440
Zm00001eb005450,Zm00001eb005450
Zm00001eb005460,sut1
Zm00001eb005470,Zm00001eb005470
Zm00001eb005480,Zm00001eb005480
Zm00001eb005490,Zm00001eb005490
Zm00001eb005500,bhlh74
Zm00001eb005510,Zm00001eb005510
Zm00001eb005530,Zm00001eb005530
Zm00001eb005540,bhlh84
Zm00001eb005550,Zm00001eb005550
Zm00001eb005560,Zm00001eb005560
Zm00001eb005570,Zm00001eb005570
Zm00001eb005580,Zm00001eb005580
Zm00001eb005590,IDP5887
Zm00001eb005600,Zm00001eb005600
Zm00001eb005610,Zm00001eb005610
Zm00001eb005630,cl776_1
Zm00001eb005640,Zm00001eb005640
Zm00001eb005650,ereb38
Zm00001eb005660,adss1
Zm00001eb005670,Zm00001eb005670
Zm00001eb005680,IDP209
Zm00001eb005690,nfya1
Zm00001eb005700,Zm00001eb005700
Zm00001eb005710,IDP8570
Zm00001eb005740,ereb130
Zm00001eb005760,IDP3783
Zm00001eb005770,Zm00001eb005770
Zm00001eb005780,Zm00001eb005780
Zm00001eb005800,Zm00001eb005800
Zm00001eb005810,Zm00001eb005810
Zm00001eb005820,hma8
Zm00001eb005830,Zm00001eb005830
Zm00001eb005840,ct2
Zm00001eb005850,IDP7290
Zm00001eb005860,IDP29
Zm00001eb005870,Zm00001eb005870
Zm00001eb005890,Zm00001eb005890
Zm00001eb005900,Zm00001eb005900
Zm00001eb005920,lox9
Zm00001eb005930,Zm00001eb005930
Zm00001eb005940,Zm00001eb005940
Zm00001eb005950,Zm00001eb005950
Zm00001eb005960,Zm00001eb005960
Zm00001eb005970,Zm00001eb005970
Zm00001eb005980,zim26
Zm00001eb005990,zim27
Zm00001eb006000,zim16
Zm00001eb006010,Zm00001eb006010
Zm00001eb006020,kcs13
Zm00001eb006030,Zm00001eb006030
Zm00001eb006040,Zm00001eb006040
Zm00001eb006050,Zm00001eb006050
Zm00001eb006060,Zm00001eb006060
Zm00001eb006070,Zm00001eb006070
Zm00001eb006080,TIDP3623
Zm00001eb006090,Zm00001eb006090
Zm00001eb006100,Zm00001eb006100
Zm00001eb006110,Zm00001eb006110
Zm00001eb006120,Zm00001eb006120
Zm00001eb006130,Zm00001eb006130
Zm00001eb006140,Zm00001d027921
Zm00001eb006150,Zm00001eb006150
Zm00001eb006160,ereb179
Zm00001eb006170,Zm00001eb006170
Zm00001eb006180,ereb180
Zm00001eb006190,Zm00001eb006190
Zm00001eb006200,Zm00001eb006200
Zm00001eb006210,ereb182
Zm00001eb006240,Zm00001eb006240
Zm00001eb006260,flz1
Zm00001eb006270,ltk1
Zm00001eb006280,Zm00001eb006280
Zm00001eb006290,Zm00001eb006290
Zm00001eb006300,vp5
Zm00001eb006310,Zm00001eb006310
Zm00001eb006320,Zm00001eb006320
Zm00001eb006330,Zm00001eb006330
Zm00001eb006340,Zm00001eb006340
Zm00001eb006350,Zm00001eb006350
Zm00001eb006360,abi7
Zm00001eb006370,Zm00001eb006370
Zm00001eb006380,Zm00001eb006380
Zm00001eb006390,Zm00001eb006390
Zm00001eb006400,TIDP2777
Zm00001eb006410,hct1
Zm00001eb006420,Zm00001eb006420
Zm00001eb006430,hct2
Zm00001eb006440,cl244_1
Zm00001eb006450,Zm00001eb006450
Zm00001eb006460,Zm00001eb006460
Zm00001eb006470,Zm00001eb006470
Zm00001eb006480,Zm00001eb006480
Zm00001eb006490,Zm00001eb006490
Zm00001eb006510,IDP343
Zm00001eb006520,Zm00001d027963
Zm00001eb006530,Zm00001eb006530
Zm00001eb006540,Zm00001eb006540
Zm00001eb006550,Zm00001eb006550
Zm00001eb006560,Zm00001eb006560
Zm00001eb006570,Zm00001eb006570
Zm00001eb006590,Zm00001eb006590
Zm00001eb006600,Zm00001eb006600
Zm00001eb006610,Zm00001eb006610
Zm00001eb006620,IDP622
Zm00001eb006630,Zm00001eb006630
Zm00001eb006640,Zm00001eb006640
Zm00001eb006650,Zm00001eb006650
Zm00001eb006660,Zm00001eb006660
Zm00001eb006670,Zm00001eb006670
Zm00001eb006680,bhlh160
Zm00001eb006690,Zm00001eb006690
Zm00001eb006700,hb5
Zm00001eb006710,Zm00001eb006710
Zm00001eb006720,Zm00001eb006720
Zm00001eb006730,Zm00001eb006730
Zm00001eb006740,Zm00001eb006740
Zm00001eb006760,Zm00001eb006760
Zm00001eb006770,pco147721a
Zm00001eb006780,Zm00001eb006780
Zm00001eb006790,Zm00001eb006790
Zm00001eb006800,Zm00001eb006800
Zm00001eb006830,abc4
Zm00001eb006840,Zm00001eb006840
Zm00001eb006850,ras11E1
Zm00001eb006860,Zm00001eb006860
Zm00001eb006870,cl15956_1a
Zm00001eb006880,Zm00001eb006880
Zm00001eb006890,camta4
Zm00001eb006900,Zm00001eb006900
Zm00001eb006910,Zm00001eb006910
Zm00001eb006920,Zm00001eb006920
Zm00001eb006930,Zm00001eb006930
Zm00001eb006940,IDP871
Zm00001eb006950,Zm00001eb006950
Zm00001eb006960,Zm00001eb006960
Zm00001eb006970,Zm00001eb006970
Zm00001eb006990,Zm00001eb006990
Zm00001eb007000,ereb101
Zm00001eb007010,Zm00001eb007010
Zm00001eb007020,pco122203
Zm00001eb007030,Zm00001eb007030
Zm00001eb007040,Zm00001eb007040
Zm00001eb007050,Zm00001eb007050
Zm00001eb007060,umc1467
Zm00001eb007070,Zm00001eb007070
Zm00001eb007080,Zm00001eb007080
Zm00001eb007090,Zm00001eb007090
Zm00001eb007100,Zm00001eb007100
Zm00001eb007110,Zm00001eb007110
Zm00001eb007120,Zm00001eb007120
Zm00001eb007130,Zm00001eb007130
Zm00001eb007140,Zm00001eb007140
Zm00001eb007150,cl4742_1a
Zm00001eb007160,Zm00001eb007160
Zm00001eb007170,Zm00001eb007170
Zm00001eb007180,Zm00001eb007180
Zm00001eb007190,emp602
Zm00001eb007200,Zm00001eb007200
Zm00001eb007220,gpm667
Zm00001eb007230,Zm00001eb007230
Zm00001eb007240,TIDP3048
Zm00001eb007250,pco148373a
Zm00001eb007270,Zm00001eb007270
Zm00001eb007280,Zm00001eb007280
Zm00001eb007290,Zm00001eb007290
Zm00001eb007300,Zm00001eb007300
Zm00001eb007310,Zm00001eb007310
Zm00001eb007320,umc1976
Zm00001eb007330,Zm00001eb007330
Zm00001eb007340,Zm00001eb007340
Zm00001eb007350,Zm00001eb007350
Zm00001eb007360,Zm00001eb007360
Zm00001eb007370,Zm00001eb007370
Zm00001eb007380,Zm00001eb007380
Zm00001eb007390,Zm00001eb007390
Zm00001eb007400,Zm00001eb007400
Zm00001eb007410,Zm00001eb007410
Zm00001eb007420,Zm00001eb007420
Zm00001eb007430,ereb35
Zm00001eb007440,Zm00001eb007440
Zm00001eb007450,Zm00001eb007450
Zm00001eb007460,IDP8623
Zm00001eb007470,rdph1
Zm00001eb007490,hagtf2
Zm00001eb007500,Zm00001eb007500
Zm00001eb007510,umc2226
Zm00001eb007540,Zm00001eb007540
Zm00001eb007550,Zm00001eb007550
Zm00001eb007560,Zm00001eb007560
Zm00001eb007570,IDP8987
Zm00001eb007580,Zm00001eb007580
Zm00001eb007590,Zm00001eb007590
Zm00001eb007600,phm13619
Zm00001eb007610,Zm00001eb007610
Zm00001eb007630,Zm00001eb007630
Zm00001eb007640,cyc16
Zm00001eb007650,Zm00001eb007650
Zm00001eb007670,si707062c10
Zm00001eb007680,urb2
Zm00001eb007690,Zm00001eb007690
Zm00001eb007700,si618060g08
Zm00001eb007720,Zm00001eb007720
Zm00001eb007730,Zm00001eb007730
Zm00001eb007740,xyl9
Zm00001eb007750,Zm00001eb007750
Zm00001eb007760,Zm00001eb007760
Zm00001eb007770,Zm00001eb007770
Zm00001eb007780,Zm00001eb007780
Zm00001eb007790,Zm00001eb007790
Zm00001eb007800,Zm00001eb007800
Zm00001eb007810,Zm00001eb007810
Zm00001eb007820,Zm00001eb007820
Zm00001eb007830,mmp135
Zm00001eb007840,Zm00001eb007840
Zm00001eb007850,chn8
Zm00001eb007860,Zm00001eb007860
Zm00001eb007870,Zm00001eb007870
Zm00001eb007880,Zm00001eb007880
Zm00001eb007890,Zm00001eb007890
Zm00001eb007900,umc1200
Zm00001eb007910,Zm00001eb007910
Zm00001eb007920,Zm00001eb007920
Zm00001eb007930,dng1
Zm00001eb007940,Zm00001eb007940
Zm00001eb007950,gt1
Zm00001eb007960,Zm00001eb007960
Zm00001eb007970,Zm00001eb007970
Zm00001eb007990,ofp3
Zm00001eb008000,Zm00001eb008000
Zm00001eb008010,bnlg1953
Zm00001eb008030,Zm00001eb008030
Zm00001eb008040,Zm00001eb008040
Zm00001eb008050,Zm00001eb008050
Zm00001eb008060,IDP7226
Zm00001eb008070,Zm00001eb008070
Zm00001eb008080,Zm00001eb008080
Zm00001eb008090,Zm00001eb008090
Zm00001eb008100,Zm00001eb008100
Zm00001eb008130,Zm00001d028159
Zm00001eb008140,srl5
Zm00001eb008150,Zm00001eb008150
Zm00001eb008160,sfp1
Zm00001eb008170,sfp3
Zm00001eb008180,dapat3
Zm00001eb008190,Zm00001eb008190
Zm00001eb008200,Zm00001eb008200
Zm00001eb008210,Zm00001eb008210
Zm00001eb008220,Zm00001eb008220
Zm00001eb008240,GRMZM2G331652
Zm00001eb008250,Zm00001eb008250
Zm00001eb008260,Zm00001eb008260
Zm00001eb008270,Zm00001eb008270
Zm00001eb008280,Zm00001eb008280
Zm00001eb008290,Zm00001eb008290
Zm00001eb008300,IDP7812
Zm00001eb008310,Zm00001eb008310
Zm00001eb008320,Zm00001eb008320
Zm00001eb008330,Zm00001eb008330
Zm00001eb008340,IDP6976
Zm00001eb008350,nactf64
Zm00001eb008360,mips1
Zm00001eb008370,Zm00001eb008370
