"gene","raw_cutree_cluster","trend_cluster","mean_SCT_expression"
"Zm00001eb069290",6,"C1",1.38479824406344
"Zm00001eb227470",6,"C1",1.38042230568001
"Zm00001eb285090",6,"C1",1.36386069377803
"Zm00001eb270240",6,"C1",1.35138715056637
"Zm00001eb111910",6,"C1",1.32419910822174
"Zm00001eb312430",6,"C1",1.30807048973558
"Zm00001eb349240",6,"C1",1.30352595028367
"Zm00001eb313000",6,"C1",1.28870365754823
"Zm00001eb388350",6,"C1",1.26946352586093
"Zm00001eb434320",6,"C1",1.26428619093605
"Zm00001eb192900",6,"C1",1.25455379909006
"Zm00001eb042390",6,"C1",1.23837658792958
"Zm00001eb008550",6,"C1",1.23545301852196
"Zm00001eb419950",6,"C1",1.23212506794809
"Zm00001eb379500",6,"C1",1.2318531555054
"Zm00001eb008610",6,"C1",1.22395402303205
"Zm00001eb102400",6,"C1",1.22076771379369
"Zm00001eb200810",6,"C1",1.21738654623954
"Zm00001eb289700",6,"C1",1.21359555120105
"Zm00001eb211130",6,"C1",1.21089205943948
"Zm00001eb128810",6,"C1",1.20645923515233
"Zm00001eb345800",6,"C1",1.19808673298315
"Zm00001eb432370",6,"C1",1.19298958981255
"Zm00001eb157650",6,"C1",1.19262008565777
"Zm00001eb402840",6,"C1",1.18859472419779
"Zm00001eb422630",6,"C1",1.18106035814264
"Zm00001eb371250",6,"C1",1.17101721954312
"Zm00001eb159420",6,"C1",1.16913758932223
"Zm00001eb362250",6,"C1",1.15842592693393
"Zm00001eb156500",6,"C1",1.15452267552332
"Zm00001eb153940",6,"C1",1.1423501575948
"Zm00001eb351380",6,"C1",1.13953951459539
"Zm00001eb179440",6,"C1",1.1386060356334
"Zm00001eb233830",6,"C1",1.12401252475685
"Zm00001eb042670",6,"C1",1.120422979905
"Zm00001eb294130",6,"C1",1.1089998209119
"Zm00001eb431060",6,"C1",1.10861770256405
"Zm00001eb056550",6,"C1",1.10112465063529
"Zm00001eb128130",6,"C1",1.09941968754734
"Zm00001eb184450",6,"C1",1.09850413686485
"Zm00001eb403050",6,"C1",1.09461944853962
"Zm00001eb376020",6,"C1",1.08517640852395
"Zm00001eb243600",6,"C1",1.07716214328536
"Zm00001eb326230",6,"C1",1.07411961930725
"Zm00001eb303010",6,"C1",1.0683537911497
"Zm00001eb210720",6,"C1",1.06542655832344
"Zm00001eb054200",6,"C1",1.06113684557828
"Zm00001eb222320",6,"C1",1.06022483064579
"Zm00001eb394360",6,"C1",1.05944143425747
"Zm00001eb431690",6,"C1",1.05601684907334
"Zm00001eb281730",6,"C1",1.05509710139715
"Zm00001eb205990",6,"C1",1.05192602688457
"Zm00001eb116280",6,"C1",1.04896736551997
"Zm00001eb041200",6,"C1",1.04783354157886
"Zm00001eb086540",6,"C1",1.04574112782278
"Zm00001eb268750",6,"C1",1.04334304700841
"Zm00001eb196650",6,"C1",1.04206510523423
"Zm00001eb066650",6,"C1",1.03980879760965
"Zm00001eb423310",6,"C1",1.03777860583137
"Zm00001eb031900",6,"C1",1.03438575469206
"Zm00001eb140380",6,"C1",1.0325811172732
"Zm00001eb240160",6,"C1",1.02018620328867
"Zm00001eb234680",6,"C1",1.01130997969418
"Zm00001eb306480",6,"C1",1.01013325475029
"Zm00001eb332520",6,"C1",1.00821785891758
"Zm00001eb298130",6,"C1",1.00697326505689
"Zm00001eb294640",6,"C1",1.00523829347373
"Zm00001eb398860",6,"C1",1.00319946674882
"Zm00001eb347200",6,"C1",1.0030862015701
"Zm00001eb139250",6,"C1",1.0019057261899
"Zm00001eb332040",6,"C1",1.00044769286931
"Zm00001eb020690",6,"C1",0.999675119037283
"Zm00001eb181160",6,"C1",0.997443559569969
"Zm00001eb279060",6,"C1",0.990961019322555
"Zm00001eb154530",6,"C1",0.990626737964616
"Zm00001eb048800",6,"C1",0.989546532948358
"Zm00001eb058600",6,"C1",0.98434321968153
"Zm00001eb127760",6,"C1",0.983745377101391
"Zm00001eb126080",6,"C1",0.980887409135062
"Zm00001eb221810",6,"C1",0.978491089483957
"Zm00001eb011020",6,"C1",0.97735806158183
"Zm00001eb315530",6,"C1",0.9769808894828
"Zm00001eb331470",6,"C1",0.974278488523029
"Zm00001eb364840",6,"C1",0.963688704714415
"Zm00001eb049330",6,"C1",0.963579061881348
"Zm00001eb013640",6,"C1",0.962970129545765
"Zm00001eb138410",6,"C1",0.960034295083024
"Zm00001eb213630",6,"C1",0.958083242712434
"Zm00001eb034130",6,"C1",0.952268515261722
"Zm00001eb267430",6,"C1",0.951149893668257
"Zm00001eb418160",6,"C1",0.949671730004927
"Zm00001eb057720",6,"C1",0.949666935354659
"Zm00001eb038310",6,"C1",0.947187306169377
"Zm00001eb176350",6,"C1",0.945750238667718
"Zm00001eb085500",6,"C1",0.943366471892234
"Zm00001eb356880",6,"C1",0.940919309465548
"Zm00001eb168750",6,"C1",0.931713098405979
"Zm00001eb043910",6,"C1",0.930880624728567
"Zm00001eb224990",6,"C1",0.916967404383029
"Zm00001eb338570",6,"C1",0.916465065924266
"Zm00001eb059090",6,"C1",0.916338366838288
"Zm00001eb329250",6,"C1",0.911751754049041
"Zm00001eb297230",6,"C1",0.908849405164737
"Zm00001eb070260",6,"C1",0.90202763323716
"Zm00001eb131790",6,"C1",0.899517019796742
"Zm00001eb241290",6,"C1",0.894093270615977
"Zm00001eb369670",6,"C1",0.89100690647968
"Zm00001eb342640",6,"C1",0.889728311750133
"Zm00001eb356680",6,"C1",0.882620076045717
"Zm00001eb302810",6,"C1",0.88259507496284
"Zm00001eb240630",6,"C1",0.881179959462578
"Zm00001eb121180",6,"C1",0.874526396736148
"Zm00001eb060640",6,"C1",0.873863976229456
"Zm00001eb230780",6,"C1",0.869455321310028
"Zm00001eb137060",6,"C1",0.868025203543991
"Zm00001eb042990",6,"C1",0.865815663094189
"Zm00001eb335350",6,"C1",0.862772860989682
"Zm00001eb138330",6,"C1",0.860723988684731
"Zm00001eb400980",6,"C1",0.85576675612868
"Zm00001eb025130",6,"C1",0.855063116617974
"Zm00001eb241190",6,"C1",0.850387538716077
"Zm00001eb362860",6,"C1",0.850287438093554
"Zm00001eb396890",6,"C1",0.847044509826969
"Zm00001eb377530",6,"C1",0.839327747321116
"Zm00001eb325420",6,"C1",0.838087228204794
"Zm00001eb122690",6,"C1",0.837654302164915
"Zm00001eb287570",6,"C1",0.836403826562416
"Zm00001eb269840",6,"C1",0.833475702703912
"Zm00001eb359620",6,"C1",0.828352357412889
"Zm00001eb010400",6,"C1",0.827441771946022
"Zm00001eb215040",6,"C1",0.826672221021033
"Zm00001eb118920",6,"C1",0.826271487115766
"Zm00001eb108720",6,"C1",0.822926963154238
"Zm00001eb165950",6,"C1",0.822161882498047
"Zm00001eb327460",6,"C1",0.821675718494669
"Zm00001eb221180",6,"C1",0.819457226630142
"Zm00001eb283980",6,"C1",0.817786850876399
"Zm00001eb345240",6,"C1",0.816580492880842
"Zm00001eb047170",6,"C1",0.813446294943674
"Zm00001eb362330",6,"C1",0.811925648851484
"Zm00001eb067960",6,"C1",0.807159519877976
"Zm00001eb140890",6,"C1",0.805489114801543
"Zm00001eb356920",6,"C1",0.803902136957596
"Zm00001eb288200",6,"C1",0.803334231307924
"Zm00001eb110280",6,"C1",0.801903527337847
"Zm00001eb318200",6,"C1",0.800128579931995
"Zm00001eb066790",6,"C1",0.795364500689521
"Zm00001eb321330",6,"C1",0.794677376989703
"Zm00001eb267900",6,"C1",0.792686567935486
"Zm00001eb359420",6,"C1",0.791943032076627
"Zm00001eb023020",6,"C1",0.79173044836554
"Zm00001eb192570",6,"C1",0.790135200233557
"Zm00001eb076390",6,"C1",0.790049821691602
"Zm00001eb105310",6,"C1",0.785933299198667
"Zm00001eb383320",6,"C1",0.785823827306504
"Zm00001eb058230",6,"C1",0.781263426053242
"Zm00001eb004170",6,"C1",0.778887059917551
"Zm00001eb218300",6,"C1",0.775565969970056
"Zm00001eb178620",6,"C1",0.774597720485303
"Zm00001eb193560",6,"C1",0.774093421620284
"Zm00001eb356940",6,"C1",0.773153177931309
"Zm00001eb196350",6,"C1",0.77307080350205
"Zm00001eb041760",6,"C1",0.770447280650939
"Zm00001eb121760",6,"C1",0.770333270161341
"Zm00001eb291710",6,"C1",0.768067958647818
"Zm00001eb321990",6,"C1",0.767723413126919
"Zm00001eb096040",6,"C1",0.767463144110825
"Zm00001eb228990",6,"C1",0.766733089504907
"Zm00001eb358400",6,"C1",0.761607655562437
"Zm00001eb211480",6,"C1",0.761082485180808
"Zm00001eb375510",6,"C1",0.759709794158381
"Zm00001eb217160",6,"C1",0.759646460202287
"Zm00001eb175560",6,"C1",0.757177113239368
"Zm00001eb423880",6,"C1",0.756628564777675
"Zm00001eb084180",6,"C1",0.753567419510265
"Zm00001eb171240",6,"C1",0.752556406256151
"Zm00001eb304090",6,"C1",0.752233870664872
"Zm00001eb104510",6,"C1",0.751008504441324
"Zm00001eb174670",6,"C1",0.750715102985306
"Zm00001eb010150",6,"C1",0.75011890773067
"Zm00001eb346940",6,"C1",0.749962231883644
"Zm00001eb038490",6,"C1",0.748683176386686
"Zm00001eb046980",6,"C1",0.746413389642112
"Zm00001eb266570",6,"C1",0.746288894891685
"Zm00001eb180540",6,"C1",0.743956391211732
"Zm00001eb347110",6,"C1",0.74327146288102
"Zm00001eb240380",6,"C1",0.742972983329828
"Zm00001eb007170",6,"C1",0.742448893002599
"Zm00001eb329590",6,"C1",0.741348323328107
"Zm00001eb406760",6,"C1",0.737278265258352
"Zm00001eb169770",6,"C1",0.736812706213199
"Zm00001eb221440",6,"C1",0.735699495870282
"Zm00001eb390210",6,"C1",0.734796287805569
"Zm00001eb049840",6,"C1",0.730860762562509
"Zm00001eb052740",6,"C1",0.729586821501568
"Zm00001eb128160",6,"C1",0.727184772451454
"Zm00001eb061310",6,"C1",0.727182099818792
"Zm00001eb356180",6,"C1",0.724468937254433
"Zm00001eb158030",6,"C1",0.723269351799505
"Zm00001eb292060",6,"C1",0.723093235275578
"Zm00001eb209390",6,"C1",0.72162841071022
"Zm00001eb226740",6,"C1",0.720618543717223
"Zm00001eb166710",6,"C1",0.719588070094595
"Zm00001eb198280",6,"C1",0.71617283763993
"Zm00001eb346960",6,"C1",0.714212982443449
"Zm00001eb104960",6,"C1",0.709576226284925
"Zm00001eb222890",6,"C1",0.708981790882009
"Zm00001eb323470",6,"C1",0.708006928146952
"Zm00001eb178370",6,"C1",0.705434331922101
"Zm00001eb098450",6,"C1",0.70501593040256
"Zm00001eb126790",6,"C1",0.704844214629324
"Zm00001eb127970",6,"C1",0.704244903431321
"Zm00001eb331970",6,"C1",0.703887433024259
"Zm00001eb012330",6,"C1",0.702222375236459
"Zm00001eb413280",6,"C1",0.701160265280373
"Zm00001eb043920",6,"C1",0.699989773182337
"Zm00001eb346900",6,"C1",0.699615540410801
"Zm00001eb409430",6,"C1",0.698841169210417
"Zm00001eb169400",6,"C1",0.694992828851147
"Zm00001eb124390",6,"C1",0.69330653685878
"Zm00001eb039770",6,"C1",0.691072610975821
"Zm00001eb085010",6,"C1",0.689589782958462
"Zm00001eb040490",6,"C1",0.687860922899013
"Zm00001eb402460",6,"C1",0.685862972400511
"Zm00001eb360860",6,"C1",0.685726683829524
"Zm00001eb370090",6,"C1",0.683774390479959
"Zm00001eb114240",6,"C1",0.680685825749849
"Zm00001eb334120",6,"C1",0.676092518629232
"Zm00001eb055030",6,"C1",0.675949463403148
"Zm00001eb070840",6,"C1",0.670182785541498
"Zm00001eb142230",6,"C1",0.669422524608268
"Zm00001eb329790",6,"C1",0.668947128630361
"Zm00001eb398660",6,"C1",0.668062137308644
"Zm00001eb338190",6,"C1",0.667987235275438
"Zm00001eb276870",6,"C1",0.662569956106565
"Zm00001eb427430",6,"C1",0.662414719380872
"Zm00001eb062480",6,"C1",0.660342055403511
"Zm00001eb277360",6,"C1",0.658775044985763
"Zm00001eb065890",6,"C1",0.65827290877956
"Zm00001eb208430",6,"C1",0.656755259829907
"Zm00001eb196240",6,"C1",0.655758696887643
"Zm00001eb103580",6,"C1",0.653385269814665
"Zm00001eb186100",6,"C1",0.652657470727886
"Zm00001eb251410",6,"C1",0.650466802082884
"Zm00001eb337840",6,"C1",0.648420218166248
"Zm00001eb127210",6,"C1",0.64812724193897
"Zm00001eb174060",6,"C1",0.648001051358308
"Zm00001eb363160",6,"C1",0.646254741206231
"Zm00001eb031280",6,"C1",0.64274662422173
"Zm00001eb280130",6,"C1",0.641785476528276
"Zm00001eb214380",6,"C1",0.638603907477377
"Zm00001eb189120",6,"C1",0.637160545472094
"Zm00001eb295100",6,"C1",0.635544088409598
"Zm00001eb060380",6,"C1",0.635141778169148
"Zm00001eb111180",6,"C1",0.633753966795207
"Zm00001eb222000",6,"C1",0.633175426779756
"Zm00001eb275390",6,"C1",0.632652796233374
"Zm00001eb292290",6,"C1",0.629140315673322
"Zm00001eb229060",6,"C1",0.628830056578552
"Zm00001eb194780",6,"C1",0.628500080966624
"Zm00001eb205290",6,"C1",0.628011213878417
"Zm00001eb154130",6,"C1",0.627748917351014
"Zm00001eb062460",6,"C1",0.6243435779412
"Zm00001eb394540",6,"C1",0.621566597398073
"Zm00001eb146610",6,"C1",0.621154891671202
"Zm00001eb224360",6,"C1",0.620716076947959
"Zm00001eb082560",6,"C1",0.617187606878507
"Zm00001eb360250",6,"C1",0.616541533459124
"Zm00001eb079540",6,"C1",0.615892892219524
"Zm00001eb307680",6,"C1",0.615730323028008
"Zm00001eb292740",6,"C1",0.614178276356845
"Zm00001eb226900",6,"C1",0.61248067694637
"Zm00001eb090540",6,"C1",0.61243684923585
"Zm00001eb147090",6,"C1",0.612218525051339
"Zm00001eb265520",6,"C1",0.610347091872499
"Zm00001eb037640",6,"C1",0.60915824478146
"Zm00001eb206740",6,"C1",0.608119390331688
"Zm00001eb093250",6,"C1",0.60802079290429
"Zm00001eb194200",6,"C1",0.607492360594936
"Zm00001eb304110",6,"C1",0.606161926373268
"Zm00001eb288420",6,"C1",0.605980902707456
"Zm00001eb111730",6,"C1",0.605005542472641
"Zm00001eb114200",6,"C1",0.604423921743884
"Zm00001eb238510",6,"C1",0.604235092913942
"Zm00001eb105850",6,"C1",0.603025090950979
"Zm00001eb023860",6,"C1",0.602834122980979
"Zm00001eb006150",6,"C1",0.600166311759793
"Zm00001eb399240",6,"C1",0.599013568538458
"Zm00001eb430300",6,"C1",0.59476498699615
"Zm00001eb118850",6,"C1",0.594397670119201
"Zm00001eb403120",6,"C1",0.593938401931314
"Zm00001eb416110",6,"C1",0.593797097218384
"Zm00001eb354870",6,"C1",0.592692227104621
"Zm00001eb192980",6,"C1",0.592367711066329
"Zm00001eb053740",6,"C1",0.59207573488233
"Zm00001eb148820",6,"C1",0.590338774323161
"Zm00001eb047610",6,"C1",0.590281904938671
"Zm00001eb115270",6,"C1",0.59021579010696
"Zm00001eb410020",6,"C1",0.589938946434767
"Zm00001eb376640",6,"C1",0.589302491377206
"Zm00001eb028370",6,"C1",0.589193975663845
"Zm00001eb389160",6,"C1",0.588973873999928
"Zm00001eb023910",6,"C1",0.58696558468959
"Zm00001eb031400",6,"C1",0.584546265090831
"Zm00001eb371020",6,"C1",0.582371232429211
"Zm00001eb394400",6,"C1",0.580727935910721
"Zm00001eb264480",6,"C1",0.578722317812473
"Zm00001eb386560",6,"C1",0.578445452287485
"Zm00001eb076670",6,"C1",0.577367628678751
"Zm00001eb279760",6,"C1",0.576354647385249
"Zm00001eb433320",6,"C1",0.573871171078929
"Zm00001eb243530",6,"C1",0.572870781619521
"Zm00001eb326520",6,"C1",0.572300798912841
"Zm00001eb189870",6,"C1",0.571484696460657
"Zm00001eb380850",6,"C1",0.570266258761402
"Zm00001eb102930",6,"C1",0.568643361974717
"Zm00001eb334740",6,"C1",0.568637963685531
"Zm00001eb386290",6,"C1",0.568303439015889
"Zm00001eb269560",6,"C1",0.566217850977494
"Zm00001eb090920",6,"C1",0.5646424715562
"Zm00001eb343610",6,"C1",0.56384044296063
"Zm00001eb423370",6,"C1",0.563077530663924
"Zm00001eb233380",6,"C1",0.562944228901635
"Zm00001eb100550",6,"C1",0.56275964878204
"Zm00001eb258890",6,"C1",0.559529216361241
"Zm00001eb156210",6,"C1",0.559513483800904
"Zm00001eb174550",6,"C1",0.559328808760216
"Zm00001eb296070",6,"C1",0.557369264150871
"Zm00001eb363280",6,"C1",0.555688854251254
"Zm00001eb006850",6,"C1",0.555298937913443
"Zm00001eb043430",6,"C1",0.555295429922065
"Zm00001eb434050",6,"C1",0.5549120226984
"Zm00001eb271970",6,"C1",0.554800309536002
"Zm00001eb107670",6,"C1",0.554743863549065
"Zm00001eb324440",6,"C1",0.554638220613011
"Zm00001eb252330",6,"C1",0.554589036772832
"Zm00001eb179820",6,"C1",0.554543596520286
"Zm00001eb043690",6,"C1",0.553577893090184
"Zm00001eb225000",6,"C1",0.552721288087782
"Zm00001eb185070",6,"C1",0.551389073943965
"Zm00001eb348580",6,"C1",0.551180777036601
"Zm00001eb178470",6,"C1",0.549882477736474
"Zm00001eb220110",6,"C1",0.548607243836726
"Zm00001eb221890",6,"C1",0.548443456354316
"Zm00001eb238250",6,"C1",0.548101752359692
"Zm00001eb350050",6,"C1",0.546816888418032
"Zm00001eb019510",6,"C1",0.544965013749422
"Zm00001eb375430",6,"C1",0.544539730007152
"Zm00001eb061440",6,"C1",0.543142914015204
"Zm00001eb145240",6,"C1",0.54299699165709
"Zm00001eb012950",6,"C1",0.542887467424589
"Zm00001eb067220",6,"C1",0.542415334291321
"Zm00001eb324850",6,"C1",0.542320032917044
"Zm00001eb191380",6,"C1",0.541447445151873
"Zm00001eb298440",6,"C1",0.540375124034547
"Zm00001eb211780",6,"C1",0.540189447084736
"Zm00001eb284400",6,"C1",0.539628088709701
"Zm00001eb379840",6,"C1",0.539412195295303
"Zm00001eb409170",6,"C1",0.537681510769993
"Zm00001eb413320",6,"C1",0.535998134858154
"Zm00001eb356240",6,"C1",0.53416853512815
"Zm00001eb254250",6,"C1",0.532519974068946
"Zm00001eb405230",6,"C1",0.531689083937968
"Zm00001eb221690",6,"C1",0.528055411137827
"Zm00001eb167080",6,"C1",0.527743017800538
"Zm00001eb000670",6,"C1",0.527693478169789
"Zm00001eb249970",6,"C1",0.527382947977678
"Zm00001eb210820",6,"C1",0.524807208621746
"Zm00001eb025470",6,"C1",0.522879484486219
"Zm00001eb204210",6,"C1",0.521869937787552
"Zm00001eb234190",6,"C1",0.521156028056622
"Zm00001eb300000",6,"C1",0.521103505273106
"Zm00001eb008370",6,"C1",0.520863914937975
"Zm00001eb054330",6,"C1",0.520642215245455
"Zm00001eb118650",6,"C1",0.51917396875313
"Zm00001eb177920",6,"C1",0.519037696290066
"Zm00001eb007690",6,"C1",0.517534134515619
"Zm00001eb209170",6,"C1",0.516023262629685
"Zm00001eb076640",6,"C1",0.515887440015755
"Zm00001eb396460",6,"C1",0.51471550272127
"Zm00001eb325940",6,"C1",0.51456196957132
"Zm00001eb229740",6,"C1",0.513964815647281
"Zm00001eb012300",6,"C1",0.513828702521159
"Zm00001eb148850",6,"C1",0.5134307815842
"Zm00001eb044840",6,"C1",0.512967854867786
"Zm00001eb369780",6,"C1",0.512830034331735
"Zm00001eb137100",6,"C1",0.51275039550055
"Zm00001eb351410",6,"C1",0.512339283010185
"Zm00001eb429840",6,"C1",0.511956017308285
"Zm00001eb053500",6,"C1",0.511889354223269
"Zm00001eb062420",6,"C1",0.511480919951075
"Zm00001eb179090",6,"C1",0.511028965052563
"Zm00001eb208230",6,"C1",0.511027194178085
"Zm00001eb147970",6,"C1",0.510327866929781
"Zm00001eb331610",6,"C1",0.510026478550575
"Zm00001eb205970",6,"C1",0.509874403070799
"Zm00001eb358220",6,"C1",0.507530819818927
"Zm00001eb109520",6,"C1",0.505878815628058
"Zm00001eb013110",6,"C1",0.505627169184392
"Zm00001eb120880",6,"C1",0.504273513982521
"Zm00001eb268880",6,"C1",0.503379857033174
"Zm00001eb213310",6,"C1",0.503360798858917
"Zm00001eb295910",6,"C1",0.501640090919662
"Zm00001eb156450",6,"C1",0.501457933445167
"Zm00001eb198710",6,"C1",0.500878325683595
"Zm00001eb431310",6,"C1",0.500192242043323
"Zm00001eb039590",6,"C1",0.500012884939355
"Zm00001eb116270",6,"C1",0.499779412678674
"Zm00001eb428680",6,"C1",0.499423412420178
"Zm00001eb058860",6,"C1",0.498123651701917
"Zm00001eb064680",6,"C1",0.498049728813756
"Zm00001eb010950",6,"C1",0.497213047201087
"Zm00001eb155250",6,"C1",0.496890382198878
"Zm00001eb188370",6,"C1",0.496676556763956
"Zm00001eb299970",6,"C1",0.496608037501208
"Zm00001eb082080",6,"C1",0.496572918334051
"Zm00001eb193830",6,"C1",0.495646502510111
"Zm00001eb430360",6,"C1",0.495588648902068
"Zm00001eb234400",6,"C1",0.495181198991327
"Zm00001eb326590",6,"C1",0.494940126527574
"Zm00001eb004090",6,"C1",0.493761287726958
"Zm00001eb265540",6,"C1",0.492679844524535
"Zm00001eb238020",6,"C1",0.492406203993724
"Zm00001eb236520",6,"C1",0.491711132941938
"Zm00001eb031310",6,"C1",0.49071828407017
"Zm00001eb319790",6,"C1",0.490171446409674
"Zm00001eb198110",6,"C1",0.489482883043577
"Zm00001eb432470",6,"C1",0.489066229659145
"Zm00001eb173700",6,"C1",0.486432646629586
"Zm00001eb346200",6,"C1",0.486355160056197
"Zm00001eb387800",6,"C1",0.486196675920593
"Zm00001eb067410",6,"C1",0.486050546117304
"Zm00001eb242050",6,"C1",0.485577348443661
"Zm00001eb319500",6,"C1",0.485097968453993
"Zm00001eb401400",6,"C1",0.483931393113347
"Zm00001eb076340",6,"C1",0.483774356552056
"Zm00001eb207120",6,"C1",0.482997913692474
"Zm00001eb162230",6,"C1",0.481495104883397
"Zm00001eb330800",6,"C1",0.48102358474684
"Zm00001eb140640",6,"C1",0.480773218921755
"Zm00001eb070360",6,"C1",0.47861296271961
"Zm00001eb432770",6,"C1",0.478566201233892
"Zm00001eb269310",6,"C1",0.478088052790783
"Zm00001eb259220",6,"C1",0.47805981346823
"Zm00001eb005820",6,"C1",0.478014715392937
"Zm00001eb409060",6,"C1",0.477456052025635
"Zm00001eb035680",6,"C1",0.476892292265423
"Zm00001eb283000",6,"C1",0.476466236124236
"Zm00001eb335800",6,"C1",0.476123602571105
"Zm00001eb242380",6,"C1",0.475745047800722
"Zm00001eb220090",6,"C1",0.475586160707505
"Zm00001eb035640",6,"C1",0.474296780915875
"Zm00001eb106080",6,"C1",0.473485671118584
"Zm00001eb110070",6,"C1",0.473206690603295
"Zm00001eb335640",6,"C1",0.472124551104707
"Zm00001eb025800",6,"C1",0.471866378406274
"Zm00001eb259320",6,"C1",0.470418936753939
"Zm00001eb228060",6,"C1",0.469088112151555
"Zm00001eb185950",6,"C1",0.468333378387267
"Zm00001eb229950",6,"C1",0.468143023990217
"Zm00001eb426220",6,"C1",0.467168157003789
"Zm00001eb204710",6,"C1",0.466897216445503
"Zm00001eb117100",6,"C1",0.465872788394769
"Zm00001eb139680",6,"C1",0.465747897049703
"Zm00001eb292540",6,"C1",0.46246038691018
"Zm00001eb232070",6,"C1",0.461813768355588
"Zm00001eb133430",6,"C1",0.461377562110586
"Zm00001eb197610",6,"C1",0.461093641315871
"Zm00001eb309660",6,"C1",0.460760746401979
"Zm00001eb015930",6,"C1",0.46045236344551
"Zm00001eb164820",6,"C1",0.459932065293861
"Zm00001eb284280",6,"C1",0.459352101229576
"Zm00001eb026810",6,"C1",0.458212127722054
"Zm00001eb286400",6,"C1",0.45800771940751
"Zm00001eb106740",6,"C1",0.453281024925895
"Zm00001eb074070",6,"C1",0.452788526298494
"Zm00001eb120370",6,"C1",0.451608883934506
"Zm00001eb035320",6,"C1",0.451233036300314
"Zm00001eb074430",6,"C1",0.448187731257186
"Zm00001eb235840",6,"C1",0.448146638666739
"Zm00001eb083750",6,"C1",0.448070840868053
"Zm00001eb185540",6,"C1",0.448051228458346
"Zm00001eb088940",6,"C1",0.447811832197375
"Zm00001eb212180",6,"C1",0.447345994375154
"Zm00001eb094350",6,"C1",0.447228953716877
"Zm00001eb035790",6,"C1",0.447024398117606
"Zm00001eb161340",6,"C1",0.446402369372047
"Zm00001eb393610",6,"C1",0.446331302104833
"Zm00001eb154730",6,"C1",0.445117641816074
"Zm00001eb386640",6,"C1",0.44508857999685
"Zm00001eb213160",6,"C1",0.444281832975656
"Zm00001eb430250",6,"C1",0.443920990217598
"Zm00001eb316410",6,"C1",0.443157150802407
"Zm00001eb060050",6,"C1",0.441416091842752
"Zm00001eb053410",6,"C1",0.440454336286714
"Zm00001eb412490",6,"C1",0.440349711626651
"Zm00001eb355170",6,"C1",0.439913467596017
"Zm00001eb330830",6,"C1",0.439571987211545
"Zm00001eb036890",6,"C1",0.438751463432506
"Zm00001eb042120",6,"C1",0.437346795750719
"Zm00001eb278760",6,"C1",0.43730395738424
"Zm00001eb292960",6,"C1",0.436724186749957
"Zm00001eb090390",6,"C1",0.436285960602544
"Zm00001eb312810",6,"C1",0.434997427606841
"Zm00001eb040740",6,"C1",0.434706109440557
"Zm00001eb131310",6,"C1",0.434649680928416
"Zm00001eb004780",6,"C1",0.434396570387626
"Zm00001eb335820",6,"C1",0.432582935585088
"Zm00001eb203690",6,"C1",0.43169916020874
"Zm00001eb318240",6,"C1",0.430190787160958
"Zm00001eb055650",6,"C1",0.430091442555756
"Zm00001eb361180",6,"C1",0.429667474002602
"Zm00001eb064850",6,"C1",0.429165927898183
"Zm00001eb272780",6,"C1",0.429102585665076
"Zm00001eb409850",6,"C1",0.428367132863543
"Zm00001eb097300",6,"C1",0.428256335715382
"Zm00001eb221680",6,"C1",0.428218690877642
