"gene","raw_cutree_cluster","trend_cluster"
"Zm00001eb051460",2,"C2"
"Zm00001eb049150",6,"C1"
"Zm00001eb041270",3,"C4"
"Zm00001eb060880",6,"C1"
"Zm00001eb012040",3,"C4"
"Zm00001eb036140",2,"C2"
"Zm00001eb039980",2,"C2"
"Zm00001eb041630",3,"C4"
"Zm00001eb013700",3,"C4"
"Zm00001eb006510",2,"C2"
"Zm00001eb003540",6,"C1"
"Zm00001eb060040",2,"C2"
"Zm00001eb056350",2,"C2"
"Zm00001eb060340",6,"C1"
"Zm00001eb055860",2,"C2"
"Zm00001eb057370",2,"C2"
"Zm00001eb001430",2,"C2"
"Zm00001eb034690",3,"C4"
"Zm00001eb049980",2,"C2"
"Zm00001eb038930",1,"C7"
"Zm00001eb014130",2,"C2"
"Zm00001eb054390",3,"C4"
"Zm00001eb038320",2,"C2"
"Zm00001eb015010",6,"C1"
"Zm00001eb048580",2,"C2"
"Zm00001eb052700",5,"C5"
"Zm00001eb048550",3,"C4"
"Zm00001eb023860",6,"C1"
"Zm00001eb053210",3,"C4"
"Zm00001eb006450",6,"C1"
"Zm00001eb031430",2,"C2"
"Zm00001eb004730",2,"C2"
"Zm00001eb004420",2,"C2"
"Zm00001eb054210",2,"C2"
"Zm00001eb046580",2,"C2"
"Zm00001eb057690",2,"C2"
"Zm00001eb050880",3,"C4"
"Zm00001eb061910",3,"C4"
"Zm00001eb019090",2,"C2"
"Zm00001eb025210",5,"C5"
"Zm00001eb041220",1,"C7"
"Zm00001eb023120",6,"C1"
"Zm00001eb062180",7,"C6"
"Zm00001eb001280",3,"C4"
"Zm00001eb059780",3,"C4"
"Zm00001eb015960",2,"C2"
"Zm00001eb041430",5,"C5"
"Zm00001eb035640",6,"C1"
"Zm00001eb062050",7,"C6"
"Zm00001eb059070",2,"C2"
"Zm00001eb009990",6,"C1"
"Zm00001eb058520",3,"C4"
"Zm00001eb052850",2,"C2"
"Zm00001eb015290",5,"C5"
"Zm00001eb001260",2,"C2"
"Zm00001eb032750",5,"C5"
"Zm00001eb055430",6,"C1"
"Zm00001eb034830",2,"C2"
"Zm00001eb039630",3,"C4"
"Zm00001eb049850",4,"C3"
"Zm00001eb063980",2,"C2"
"Zm00001eb023970",4,"C3"
"Zm00001eb053230",2,"C2"
"Zm00001eb013460",5,"C5"
"Zm00001eb031130",2,"C2"
"Zm00001eb024270",2,"C2"
"Zm00001eb054890",6,"C1"
"Zm00001eb011640",3,"C4"
"Zm00001eb008810",6,"C1"
"Zm00001eb063360",3,"C4"
"Zm00001eb062490",2,"C2"
"Zm00001eb054680",7,"C6"
"Zm00001eb007870",6,"C1"
"Zm00001eb051110",2,"C2"
"Zm00001eb045250",2,"C2"
"Zm00001eb020590",7,"C6"
"Zm00001eb003690",2,"C2"
"Zm00001eb010200",2,"C2"
"Zm00001eb051170",2,"C2"
"Zm00001eb061530",6,"C1"
"Zm00001eb036530",2,"C2"
"Zm00001eb009890",1,"C7"
"Zm00001eb056530",2,"C2"
"Zm00001eb052630",3,"C4"
"Zm00001eb002740",5,"C5"
"Zm00001eb005530",7,"C6"
"Zm00001eb065450",6,"C1"
"Zm00001eb036050",6,"C1"
"Zm00001eb064820",2,"C2"
"Zm00001eb013240",2,"C2"
"Zm00001eb011720",2,"C2"
"Zm00001eb007270",3,"C4"
"Zm00001eb055830",7,"C6"
"Zm00001eb009170",3,"C4"
"Zm00001eb041470",2,"C2"
"Zm00001eb047030",6,"C1"
"Zm00001eb046510",6,"C1"
"Zm00001eb060670",6,"C1"
"Zm00001eb063660",3,"C4"
"Zm00001eb038620",2,"C2"
"Zm00001eb046430",3,"C4"
"Zm00001eb002560",6,"C1"
"Zm00001eb013140",2,"C2"
"Zm00001eb023570",2,"C2"
"Zm00001eb042940",3,"C4"
"Zm00001eb058920",3,"C4"
"Zm00001eb057330",2,"C2"
"Zm00001eb053110",6,"C1"
"Zm00001eb039790",2,"C2"
"Zm00001eb056910",7,"C6"
"Zm00001eb053280",3,"C4"
"Zm00001eb042970",1,"C7"
"Zm00001eb007780",2,"C2"
"Zm00001eb059100",2,"C2"
"Zm00001eb031690",2,"C2"
"Zm00001eb061750",2,"C2"
"Zm00001eb063700",2,"C2"
"Zm00001eb013490",6,"C1"
"Zm00001eb000710",3,"C4"
"Zm00001eb044210",7,"C6"
"Zm00001eb063470",3,"C4"
"Zm00001eb048710",1,"C7"
"Zm00001eb020420",2,"C2"
"Zm00001eb053650",6,"C1"
"Zm00001eb023240",2,"C2"
"Zm00001eb064930",2,"C2"
"Zm00001eb025290",2,"C2"
"Zm00001eb060630",6,"C1"
"Zm00001eb017910",6,"C1"
"Zm00001eb052720",3,"C4"
"Zm00001eb065460",7,"C6"
"Zm00001eb061890",2,"C2"
"Zm00001eb037910",2,"C2"
"Zm00001eb011780",3,"C4"
"Zm00001eb012210",6,"C1"
"Zm00001eb029040",2,"C2"
"Zm00001eb037050",2,"C2"
"Zm00001eb062080",3,"C4"
"Zm00001eb037460",2,"C2"
"Zm00001eb023950",7,"C6"
"Zm00001eb028510",2,"C2"
"Zm00001eb025310",3,"C4"
"Zm00001eb056780",2,"C2"
"Zm00001eb043690",6,"C1"
"Zm00001eb062010",6,"C1"
"Zm00001eb045800",6,"C1"
"Zm00001eb018810",2,"C2"
"Zm00001eb043480",3,"C4"
"Zm00001eb054090",2,"C2"
"Zm00001eb041460",3,"C4"
"Zm00001eb049910",2,"C2"
"Zm00001eb027970",2,"C2"
"Zm00001eb059170",2,"C2"
"Zm00001eb046110",2,"C2"
"Zm00001eb020110",2,"C2"
"Zm00001eb050670",2,"C2"
"Zm00001eb028670",6,"C1"
"Zm00001eb064450",5,"C5"
"Zm00001eb054170",2,"C2"
"Zm00001eb033950",2,"C2"
"Zm00001eb035440",3,"C4"
"Zm00001eb011060",6,"C1"
"Zm00001eb019520",2,"C2"
"Zm00001eb001340",2,"C2"
"Zm00001eb039370",2,"C2"
"Zm00001eb033190",2,"C2"
"Zm00001eb045960",2,"C2"
"Zm00001eb049820",2,"C2"
"Zm00001eb006660",5,"C5"
"Zm00001eb001180",2,"C2"
"Zm00001eb053720",6,"C1"
"Zm00001eb055990",5,"C5"
"Zm00001eb028000",2,"C2"
"Zm00001eb045190",3,"C4"
"Zm00001eb021020",3,"C4"
"Zm00001eb044800",2,"C2"
"Zm00001eb001020",3,"C4"
"Zm00001eb016910",2,"C2"
"Zm00001eb056120",6,"C1"
"Zm00001eb015330",2,"C2"
"Zm00001eb040870",3,"C4"
"Zm00001eb050130",2,"C2"
"Zm00001eb013270",6,"C1"
"Zm00001eb031410",6,"C1"
"Zm00001eb033140",5,"C5"
"Zm00001eb044410",2,"C2"
"Zm00001eb014120",6,"C1"
"Zm00001eb030720",3,"C4"
"Zm00001eb005860",1,"C7"
"Zm00001eb044390",6,"C1"
"Zm00001eb057260",2,"C2"
"Zm00001eb038140",1,"C7"
"Zm00001eb039930",7,"C6"
"Zm00001eb043810",7,"C6"
"Zm00001eb015240",5,"C5"
"Zm00001eb008580",6,"C1"
"Zm00001eb063430",3,"C4"
"Zm00001eb033590",6,"C1"
"Zm00001eb015680",3,"C4"
"Zm00001eb006310",7,"C6"
"Zm00001eb051810",2,"C2"
"Zm00001eb016620",5,"C5"
"Zm00001eb032970",1,"C7"
"Zm00001eb002610",6,"C1"
"Zm00001eb005640",2,"C2"
"Zm00001eb017610",3,"C4"
"Zm00001eb003830",5,"C5"
"Zm00001eb046350",6,"C1"
"Zm00001eb009160",5,"C5"
"Zm00001eb031800",6,"C1"
"Zm00001eb040880",2,"C2"
"Zm00001eb057570",2,"C2"
"Zm00001eb000550",2,"C2"
"Zm00001eb023820",2,"C2"
"Zm00001eb053320",2,"C2"
"Zm00001eb044100",3,"C4"
"Zm00001eb029390",6,"C1"
"Zm00001eb045510",2,"C2"
"Zm00001eb038160",1,"C7"
"Zm00001eb013900",1,"C7"
"Zm00001eb010420",2,"C2"
"Zm00001eb042700",2,"C2"
"Zm00001eb019900",2,"C2"
"Zm00001eb057420",2,"C2"
"Zm00001eb014630",3,"C4"
"Zm00001eb049650",2,"C2"
"Zm00001eb018850",6,"C1"
"Zm00001eb024070",6,"C1"
"Zm00001eb002320",3,"C4"
"Zm00001eb013190",5,"C5"
"Zm00001eb043230",5,"C5"
"Zm00001eb007640",2,"C2"
"Zm00001eb001760",7,"C6"
"Zm00001eb015170",6,"C1"
"Zm00001eb017760",3,"C4"
"Zm00001eb041930",3,"C4"
"Zm00001eb055650",6,"C1"
"Zm00001eb008130",4,"C3"
"Zm00001eb038470",2,"C2"
"Zm00001eb025430",3,"C4"
"Zm00001eb001560",7,"C6"
"Zm00001eb034900",2,"C2"
"Zm00001eb007220",2,"C2"
"Zm00001eb008720",2,"C2"
"Zm00001eb014090",5,"C5"
"Zm00001eb018130",2,"C2"
"Zm00001eb015420",2,"C2"
"Zm00001eb006020",4,"C3"
"Zm00001eb061500",6,"C1"
"Zm00001eb047520",7,"C6"
"Zm00001eb058890",2,"C2"
"Zm00001eb018030",1,"C7"
"Zm00001eb060390",5,"C5"
"Zm00001eb011150",2,"C2"
"Zm00001eb022820",2,"C2"
"Zm00001eb015990",5,"C5"
"Zm00001eb011700",2,"C2"
"Zm00001eb040140",7,"C6"
"Zm00001eb031250",6,"C1"
"Zm00001eb040560",7,"C6"
"Zm00001eb054950",3,"C4"
"Zm00001eb004430",5,"C5"
"Zm00001eb011230",3,"C4"
"Zm00001eb056550",6,"C1"
"Zm00001eb037680",2,"C2"
"Zm00001eb031900",6,"C1"
"Zm00001eb023090",2,"C2"
"Zm00001eb000340",2,"C2"
"Zm00001eb031980",2,"C2"
"Zm00001eb053010",2,"C2"
"Zm00001eb012130",3,"C4"
"Zm00001eb038410",5,"C5"
"Zm00001eb040920",6,"C1"
"Zm00001eb010150",6,"C1"
"Zm00001eb030430",2,"C2"
"Zm00001eb003070",2,"C2"
"Zm00001eb053770",3,"C4"
"Zm00001eb011980",2,"C2"
"Zm00001eb049780",2,"C2"
"Zm00001eb019250",6,"C1"
"Zm00001eb016420",3,"C4"
"Zm00001eb061310",6,"C1"
"Zm00001eb029530",6,"C1"
"Zm00001eb008450",5,"C5"
"Zm00001eb029520",1,"C7"
"Zm00001eb000720",3,"C4"
"Zm00001eb023780",5,"C5"
"Zm00001eb062150",2,"C2"
"Zm00001eb032500",7,"C6"
"Zm00001eb048700",2,"C2"
"Zm00001eb015340",3,"C4"
"Zm00001eb010310",2,"C2"
"Zm00001eb017730",2,"C2"
"Zm00001eb016930",6,"C1"
"Zm00001eb044870",3,"C4"
"Zm00001eb064400",6,"C1"
"Zm00001eb047760",2,"C2"
"Zm00001eb039850",7,"C6"
"Zm00001eb056900",5,"C5"
"Zm00001eb030680",3,"C4"
"Zm00001eb016590",6,"C1"
"Zm00001eb002470",6,"C1"
"Zm00001eb019840",7,"C6"
"Zm00001eb048090",6,"C1"
"Zm00001eb000020",2,"C2"
"Zm00001eb019480",2,"C2"
"Zm00001eb048000",3,"C4"
"Zm00001eb011880",7,"C6"
"Zm00001eb023730",5,"C5"
"Zm00001eb042890",3,"C4"
"Zm00001eb057210",2,"C2"
"Zm00001eb019330",2,"C2"
"Zm00001eb000820",2,"C2"
"Zm00001eb041840",7,"C6"
"Zm00001eb001710",7,"C6"
"Zm00001eb015910",2,"C2"
"Zm00001eb057780",6,"C1"
"Zm00001eb051150",7,"C6"
"Zm00001eb044560",2,"C2"
"Zm00001eb036330",6,"C1"
"Zm00001eb044540",2,"C2"
"Zm00001eb004540",2,"C2"
"Zm00001eb049240",5,"C5"
"Zm00001eb045780",7,"C6"
"Zm00001eb034030",2,"C2"
"Zm00001eb002680",4,"C3"
"Zm00001eb013220",3,"C4"
"Zm00001eb057460",2,"C2"
"Zm00001eb005390",3,"C4"
"Zm00001eb008980",7,"C6"
"Zm00001eb001060",6,"C1"
"Zm00001eb043950",3,"C4"
"Zm00001eb036560",2,"C2"
"Zm00001eb033110",3,"C4"
"Zm00001eb055470",3,"C4"
"Zm00001eb012100",2,"C2"
"Zm00001eb014900",3,"C4"
"Zm00001eb003580",2,"C2"
"Zm00001eb016680",6,"C1"
"Zm00001eb001470",2,"C2"
"Zm00001eb033470",3,"C4"
"Zm00001eb012150",3,"C4"
"Zm00001eb035260",7,"C6"
"Zm00001eb007860",6,"C1"
"Zm00001eb057970",5,"C5"
"Zm00001eb002030",2,"C2"
"Zm00001eb011200",3,"C4"
"Zm00001eb013500",7,"C6"
"Zm00001eb030010",2,"C2"
"Zm00001eb038710",7,"C6"
"Zm00001eb054690",2,"C2"
"Zm00001eb053020",2,"C2"
"Zm00001eb032690",1,"C7"
"Zm00001eb050320",6,"C1"
"Zm00001eb052070",4,"C3"
"Zm00001eb022910",2,"C2"
"Zm00001eb008100",3,"C4"
"Zm00001eb052650",1,"C7"
"Zm00001eb059970",2,"C2"
"Zm00001eb013300",6,"C1"
"Zm00001eb064040",6,"C1"
"Zm00001eb004780",6,"C1"
"Zm00001eb012890",3,"C4"
"Zm00001eb036300",6,"C1"
"Zm00001eb034090",6,"C1"
"Zm00001eb061440",6,"C1"
"Zm00001eb031660",2,"C2"
"Zm00001eb048340",2,"C2"
"Zm00001eb017850",6,"C1"
"Zm00001eb000210",2,"C2"
"Zm00001eb002930",3,"C4"
"Zm00001eb005660",5,"C5"
"Zm00001eb028060",2,"C2"
"Zm00001eb035630",2,"C2"
"Zm00001eb064950",3,"C4"
"Zm00001eb023130",2,"C2"
"Zm00001eb003020",6,"C1"
"Zm00001eb047310",2,"C2"
"Zm00001eb045300",6,"C1"
"Zm00001eb020040",7,"C6"
"Zm00001eb061920",1,"C7"
"Zm00001eb063750",3,"C4"
"Zm00001eb057630",2,"C2"
"Zm00001eb061240",6,"C1"
"Zm00001eb048660",2,"C2"
"Zm00001eb026560",6,"C1"
"Zm00001eb015210",2,"C2"
"Zm00001eb015710",2,"C2"
"Zm00001eb005340",3,"C4"
"Zm00001eb023520",6,"C1"
"Zm00001eb014050",7,"C6"
"Zm00001eb001670",2,"C2"
"Zm00001eb014110",3,"C4"
"Zm00001eb062270",2,"C2"
"Zm00001eb064910",7,"C6"
"Zm00001eb056820",5,"C5"
"Zm00001eb030660",2,"C2"
"Zm00001eb030840",3,"C4"
"Zm00001eb034740",1,"C7"
"Zm00001eb022160",6,"C1"
"Zm00001eb059630",2,"C2"
"Zm00001eb001600",6,"C1"
"Zm00001eb059610",2,"C2"
"Zm00001eb055050",5,"C5"
"Zm00001eb046790",2,"C2"
"Zm00001eb018470",2,"C2"
"Zm00001eb006320",6,"C1"
"Zm00001eb002660",2,"C2"
"Zm00001eb007670",5,"C5"
"Zm00001eb058450",6,"C1"
"Zm00001eb009500",7,"C6"
"Zm00001eb051980",6,"C1"
"Zm00001eb039740",3,"C4"
"Zm00001eb061070",2,"C2"
"Zm00001eb059860",2,"C2"
"Zm00001eb052980",2,"C2"
"Zm00001eb007250",7,"C6"
"Zm00001eb015820",1,"C7"
"Zm00001eb057270",2,"C2"
"Zm00001eb045470",2,"C2"
"Zm00001eb047860",5,"C5"
"Zm00001eb008660",7,"C6"
"Zm00001eb043340",2,"C2"
"Zm00001eb064640",3,"C4"
"Zm00001eb042600",3,"C4"
"Zm00001eb054110",3,"C4"
"Zm00001eb016800",6,"C1"
"Zm00001eb003970",2,"C2"
"Zm00001eb049720",3,"C4"
"Zm00001eb021780",2,"C2"
"Zm00001eb029380",3,"C4"
"Zm00001eb010170",5,"C5"
"Zm00001eb038490",6,"C1"
"Zm00001eb044140",2,"C2"
"Zm00001eb028190",3,"C4"
"Zm00001eb003180",2,"C2"
"Zm00001eb038030",2,"C2"
"Zm00001eb002260",2,"C2"
"Zm00001eb064480",6,"C1"
"Zm00001eb008480",3,"C4"
"Zm00001eb019720",3,"C4"
"Zm00001eb026770",6,"C1"
"Zm00001eb045490",5,"C5"
"Zm00001eb031280",6,"C1"
"Zm00001eb056220",2,"C2"
"Zm00001eb049750",2,"C2"
"Zm00001eb048220",3,"C4"
"Zm00001eb008900",2,"C2"
"Zm00001eb013000",6,"C1"
"Zm00001eb035050",2,"C2"
"Zm00001eb038900",2,"C2"
"Zm00001eb009130",2,"C2"
"Zm00001eb023330",7,"C6"
"Zm00001eb021800",2,"C2"
"Zm00001eb059190",3,"C4"
"Zm00001eb063900",3,"C4"
"Zm00001eb059240",1,"C7"
"Zm00001eb042730",3,"C4"
"Zm00001eb038830",5,"C5"
"Zm00001eb032800",7,"C6"
"Zm00001eb026200",2,"C2"
"Zm00001eb010660",4,"C3"
"Zm00001eb033690",3,"C4"
"Zm00001eb060640",6,"C1"
"Zm00001eb011600",3,"C4"
"Zm00001eb008140",2,"C2"
"Zm00001eb024750",6,"C1"
"Zm00001eb037890",5,"C5"
"Zm00001eb056180",3,"C4"
"Zm00001eb058080",2,"C2"
"Zm00001eb035580",7,"C6"
"Zm00001eb044840",6,"C1"
"Zm00001eb010030",5,"C5"
"Zm00001eb036790",2,"C2"
"Zm00001eb031510",6,"C1"
"Zm00001eb063380",2,"C2"
"Zm00001eb037110",1,"C7"
"Zm00001eb061390",3,"C4"
"Zm00001eb012980",2,"C2"
"Zm00001eb064740",7,"C6"
"Zm00001eb058130",3,"C4"
"Zm00001eb022870",2,"C2"
"Zm00001eb012140",2,"C2"
"Zm00001eb002200",5,"C5"
"Zm00001eb046260",2,"C2"
"Zm00001eb017970",2,"C2"
"Zm00001eb039360",2,"C2"
"Zm00001eb054940",2,"C2"
"Zm00001eb042830",2,"C2"
"Zm00001eb026650",2,"C2"
"Zm00001eb034820",6,"C1"
"Zm00001eb013750",2,"C2"
"Zm00001eb043390",5,"C5"
"Zm00001eb042480",3,"C4"
"Zm00001eb037230",3,"C4"
"Zm00001eb036840",2,"C2"
"Zm00001eb013730",3,"C4"
"Zm00001eb026330",1,"C7"
"Zm00001eb053440",6,"C1"
"Zm00001eb000980",3,"C4"
"Zm00001eb024120",6,"C1"
"Zm00001eb031820",2,"C2"
"Zm00001eb034180",3,"C4"
"Zm00001eb014460",2,"C2"
"Zm00001eb015750",3,"C4"
"Zm00001eb049430",3,"C4"
"Zm00001eb026440",2,"C2"
"Zm00001eb056870",1,"C7"
"Zm00001eb006520",6,"C1"
"Zm00001eb043910",6,"C1"
"Zm00001eb048870",2,"C2"
"Zm00001eb051930",6,"C1"
"Zm00001eb022940",5,"C5"
"Zm00001eb042570",5,"C5"
"Zm00001eb054230",7,"C6"
"Zm00001eb021820",2,"C2"
"Zm00001eb052460",2,"C2"
"Zm00001eb022120",3,"C4"
"Zm00001eb047980",1,"C7"
"Zm00001eb019650",7,"C6"
"Zm00001eb005950",2,"C2"
"Zm00001eb051770",2,"C2"
"Zm00001eb064190",3,"C4"
"Zm00001eb019460",3,"C4"
"Zm00001eb030400",3,"C4"
"Zm00001eb062550",2,"C2"
"Zm00001eb043990",2,"C2"
"Zm00001eb038360",3,"C4"
"Zm00001eb026880",2,"C2"
"Zm00001eb060940",6,"C1"
"Zm00001eb052750",3,"C4"
"Zm00001eb023600",1,"C7"
"Zm00001eb008500",2,"C2"
"Zm00001eb051600",2,"C2"
"Zm00001eb045690",2,"C2"
"Zm00001eb008370",6,"C1"
"Zm00001eb061760",3,"C4"
"Zm00001eb012020",1,"C7"
"Zm00001eb062460",6,"C1"
"Zm00001eb061630",3,"C4"
"Zm00001eb038400",3,"C4"
"Zm00001eb036910",2,"C2"
"Zm00001eb062440",2,"C2"
"Zm00001eb038540",6,"C1"
"Zm00001eb061210",1,"C7"
"Zm00001eb001830",2,"C2"
"Zm00001eb026420",2,"C2"
"Zm00001eb006770",7,"C6"
"Zm00001eb028750",2,"C2"
"Zm00001eb064010",2,"C2"
"Zm00001eb033780",6,"C1"
"Zm00001eb020090",6,"C1"
"Zm00001eb010700",2,"C2"
"Zm00001eb062220",2,"C2"
"Zm00001eb037010",6,"C1"
"Zm00001eb032000",2,"C2"
"Zm00001eb024230",7,"C6"
"Zm00001eb057140",6,"C1"
"Zm00001eb015080",3,"C4"
"Zm00001eb006150",6,"C1"
"Zm00001eb051070",1,"C7"
"Zm00001eb001510",3,"C4"
"Zm00001eb020500",2,"C2"
"Zm00001eb050350",2,"C2"
"Zm00001eb025020",6,"C1"
"Zm00001eb057910",6,"C1"
"Zm00001eb008800",4,"C3"
"Zm00001eb035790",6,"C1"
"Zm00001eb044500",3,"C4"
"Zm00001eb056930",3,"C4"
"Zm00001eb062510",1,"C7"
"Zm00001eb000380",1,"C7"
"Zm00001eb002960",5,"C5"
"Zm00001eb027950",7,"C6"
"Zm00001eb064530",2,"C2"
"Zm00001eb048510",3,"C4"
"Zm00001eb001070",2,"C2"
"Zm00001eb027340",3,"C4"
"Zm00001eb063290",3,"C4"
"Zm00001eb031890",2,"C2"
"Zm00001eb055030",6,"C1"
"Zm00001eb029510",2,"C2"
"Zm00001eb041380",6,"C1"
"Zm00001eb040480",4,"C3"
"Zm00001eb033390",5,"C5"
"Zm00001eb031330",7,"C6"
"Zm00001eb044240",6,"C1"
"Zm00001eb052800",2,"C2"
"Zm00001eb009240",2,"C2"
"Zm00001eb017700",2,"C2"
"Zm00001eb025640",3,"C4"
"Zm00001eb013840",2,"C2"
"Zm00001eb062920",2,"C2"
"Zm00001eb028520",2,"C2"
"Zm00001eb006570",2,"C2"
"Zm00001eb011420",2,"C2"
"Zm00001eb061850",7,"C6"
"Zm00001eb019600",6,"C1"
"Zm00001eb027800",2,"C2"
"Zm00001eb038680",3,"C4"
"Zm00001eb038230",3,"C4"
"Zm00001eb037710",2,"C2"
"Zm00001eb031190",7,"C6"
"Zm00001eb064520",6,"C1"
"Zm00001eb062600",7,"C6"
"Zm00001eb016050",2,"C2"
"Zm00001eb065380",2,"C2"
"Zm00001eb002060",2,"C2"
"Zm00001eb011580",2,"C2"
"Zm00001eb014640",6,"C1"
"Zm00001eb029540",6,"C1"
"Zm00001eb022380",7,"C6"
"Zm00001eb053400",2,"C2"
"Zm00001eb011970",6,"C1"
"Zm00001eb037300",6,"C1"
"Zm00001eb018610",2,"C2"
"Zm00001eb037020",3,"C4"
"Zm00001eb017880",2,"C2"
"Zm00001eb057590",3,"C4"
"Zm00001eb056250",3,"C4"
"Zm00001eb031670",2,"C2"
"Zm00001eb030440",2,"C2"
"Zm00001eb012280",5,"C5"
"Zm00001eb004160",2,"C2"
