Gene ID	SAM	P1_P2	P3	P4	P5
Zm00001eb365880	0.049657091	0.056175823	0.03179398	0.040461708	0.027908117
Zm00001eb369280	0.207618429	0.146278567	0.187629857	0.145958315	0.084675777
Zm00001eb369560	0.075812973	0.051569211	0.047327425	0.044432553	0.061828294
Zm00001eb373670	0.369260487	0.430710209	0.347998588	0.236779488	0.20598303
Zm00001eb378820	0.806248999	0.837163385	0.805521966	0.769016926	0.56853211
Zm00001eb380460	0.380922857	0.348466823	0.384871543	0.342491394	0.28751192
Zm00001eb399440	0.431394261	0.481155123	0.342571868	0.249159462	0.13211748
Zm00001eb399930	0.489421206	0.494023753	0.449145832	0.458002081	0.407570096
Zm00001eb400130	0.144476241	0.16186681	0.098673381	0.055771337	0.03116352
Zm00001eb402950	0.077653333	0.065346136	0.051873563	0.05894508	0.0618866
Zm00001eb403770	0.010830425	0.002394291	0.003212733	0.008899774	0.001773322
Zm00001eb404260	1.112759073	1.101202145	1.088903619	0.986648785	0.746310739
Zm00001eb405850	0.28875838	0.281064983	0.253793945	0.247390055	0.209898032
Zm00001eb407810	0.114639639	0.102571058	0.102686683	0.103682164	0.090205417
Zm00001eb408640	0.822707373	0.723395481	0.725037057	0.608859853	0.477682156
Zm00001eb408800	1.054732128	0.909090461	0.798109682	0.678031949	0.51437229
Zm00001eb408860	0.139787107	0.118427383	0.056571884	0.026996792	0.021392862
Zm00001eb413890	0.72162243	0.565514679	0.549445401	0.474938908	0.456379796
Zm00001eb416980	0.217634541	0.206448881	0.187221721	0.143134235	0.111727602
Zm00001eb419680	0.203123397	0.15684945	0.141452053	0.160501753	0.160504045
Zm00001eb420370	0.398088674	0.313787065	0.356527735	0.319831507	0.305136834
Zm00001eb427380	0.043321699	0.06315527	0.03420353	0.017174982	0.010807263
Zm00001eb427790	0.285271762	0.23660814	0.243108655	0.219574236	0.205816058
Zm00001eb429450	0.168791763	0.142483706	0.151423604	0.139779611	0.131335512
Zm00001eb430240	0.142635881	0.17232233	0.06325461	0.021970633	0.008331279
Zm00001eb432090	0.034331634	0.019042861	0.021685949	0.026305266	0.032012154
Zm00001eb000690	0.645171614	0.641224155	0.655202052	0.63802145	0.57144984
Zm00001eb001670	0.103809215	0.132703118	0.076181634	0.031658522	0.018306215
Zm00001eb002310	0.190452612	0.310700182	0.299274754	0.186220426	0.116354275
Zm00001eb004670	0.010830425	0.001197145	0.001606367	0.001970288	0.005319966
Zm00001eb005690	0.220289214	0.309637906	0.273193738	0.197314576	0.132715864
Zm00001eb022070	0.010830425	0.016760035	0.013320765	0.01441658	0.006687623
Zm00001eb035030	0.241950063	0.217563725	0.239655603	0.236885801	0.24476789
Zm00001eb035640	0.369066385	0.469114615	0.453545696	0.421533685	0.364380762
Zm00001eb038320	0.010830425	0.016760035	0.020549414	0.012446292	0.007093287
Zm00001eb042240	0.240941649	0.214901945	0.193648495	0.178607116	0.176036936
Zm00001eb042490	0.147130913	0.195271517	0.151410517	0.150813222	0.14487773
Zm00001eb050220	0.724294736	0.785367936	0.757600669	0.733863207	0.688092361
Zm00001eb050660	0.717959343	0.705117968	0.750480974	0.767252554	0.629570135
Zm00001eb053870	0.131805456	0.094891325	0.107492695	0.089726602	0.081430807
Zm00001eb055990	0.110144607	0.07722758	0.086819887	0.095831283	0.11292863
Zm00001eb056620	0.472061287	0.491229448	0.50800159	0.499054231	0.472537883
Zm00001eb056780	0.192292972	0.242165561	0.284860834	0.241894532	0.19400444
Zm00001eb062170	0.010830425	0	0.001606367	0.001182173	0.001773322
Zm00001eb064730	0.324098428	0.3528271	0.356784994	0.357766734	0.326680019
Zm00001eb066770	0.51418047	0.728882572	0.521209502	0.345646898	0.20154178
Zm00001eb071990	0.198628364	0.345368349	0.223300726	0.090604243	0.046202701
Zm00001eb073130	0.136300489	0.087301603	0.132134118	0.128218023	0.118599927
Zm00001eb084300	0.175127155	0.18844684	0.195981406	0.199916492	0.178835232
Zm00001eb088080	0.157961338	0.187971435	0.202100243	0.155876713	0.09959105
Zm00001eb089580	0.316754622	0.289487911	0.309109823	0.319683462	0.341325126
Zm00001eb092090	0.190452612	0.163242027	0.167761539	0.148717359	0.167044975
Zm00001eb095290	0.29674003	0.287584736	0.311157233	0.28491697	0.261889021
Zm00001eb099960	0.269946305	0.296622129	0.311791028	0.272551121	0.2619035
Zm00001eb100410	0.16429673	0.225720416	0.185566745	0.190301983	0.143430767
Zm00001eb101040	0.200468724	0.289740385	0.299713181	0.241864426	0.119215645
Zm00001eb101130	0.060487516	0.063855556	0.063724442	0.065894634	0.046462033
Zm00001eb101190	0.142635881	0.247789298	0.24159532	0.169199397	0.118756461
Zm00001eb101700	0.066822908	0.050980392	0.047857646	0.044238735	0.032827454
Zm00001eb104750	0.78021762	0.822764791	0.828737925	0.813704969	0.7593554
