gene_id,gene_name,tf_family
Zm00001eb252180,zhd12,ZF-HD
Zm00001eb228320,bhlh127,bHLH
Zm00001eb246010,nactf13,NAC
Zm00001eb289320,myb85,MYB
Zm00001eb002310,glk48,G2-like
Zm00001eb117830,ereb41,AP2
Zm00001eb215190,wrky113,WRKY
Zm00001eb050220,mbd115,MBD
Zm00001eb175840,nactf12,NAC
Zm00001eb056760,bhlh103,bHLH
Zm00001eb194770,e2f13,E2F/DP
Zm00001eb292380,cpp4,CPP
Zm00001eb199970,sbp7,SBP
Zm00001eb101130,zhd16,ZF-HD
Zm00001eb118950,nlp6,Nin-like
Zm00001eb202260,bzip110,bZIP
Zm00001eb250240,iddp10,C2H2
Zm00001eb365080,hdt104,C2H2
Zm00001eb184870,toc1,Pseudo_ARR-B
Zm00001eb089580,c3h10,C3H
Zm00001eb353990,cchh1,C2H2
Zm00001eb188380,bhlh11,bHLH
Zm00001eb201290,nactf125,NAC
Zm00001eb225570,arftf19,ARF
Zm00001eb402220,hb22,HD-ZIP
Zm00001eb391190,dbf2,ERF
Zm00001eb058610,IDP2395,G2-like
Zm00001eb101980,umc2380,AT_hook
Zm00001eb055830,bhlh137,bHLH
Zm00001eb118010,glk27,G2-like
Zm00001eb143430,c3h13,C3H
Zm00001eb078590,nlp3,Nin-like
Zm00001eb121380,nactf16,NAC
Zm00001eb187720,bhlh13,bHLH
Zm00001eb092230,TIDP3698,Pseudo_ARR-B
Zm00001eb432450,farl15,FAR1
Zm00001eb403060,Zm00001eb403060,non_TF
Zm00001eb042400,hb112,HD-ZIP
Zm00001eb408520,wrky15,WRKY
Zm00001eb050660,hb124,HD-ZIP
Zm00001eb239680,hbtf2,TALE
Zm00001eb128760,myb43,MYB
Zm00001eb219100,lbd27,LBD
Zm00001eb182260,arftf14,ARF
Zm00001eb038070,ereb172,ERF
Zm00001eb099550,zhd20,ZF-HD
Zm00001eb123570,bhlh104,bHLH
Zm00001eb042490,cadtfr11,NF-YB
Zm00001eb098960,hb34,HD-ZIP
Zm00001eb139970,ereb141,ERF
Zm00001eb099960,arid2,ARID
Zm00001eb218610,ca2p10,NF-YA
Zm00001eb190840,TIDP7116,AT_hook
Zm00001eb111570,abi39,B3
Zm00001eb101410,bhlh157,bHLH
Zm00001eb218880,wrky109,WRKY
Zm00001eb104750,AY109722,C2H2
Zm00001eb369730,mrpi1,C2H2
Zm00001eb113950,grftf15,GRF
Zm00001eb180800,thx34,Trihelix
Zm00001eb207650,c3h1,C3H
Zm00001eb378270,bbr4,BBR-BPC
Zm00001eb108090,gras85,GRAS
Zm00001eb333470,c3h23,C3H
Zm00001eb288420,nactf112,NAC
Zm00001eb349010,nactf38,NAC
Zm00001eb417000,c3h24,C3H
Zm00001eb100410,hsftf2,HSF
Zm00001eb356650,phd10,zf-BED
Zm00001eb428940,nkd2,C2H2
Zm00001eb415730,nactf61,NAC
Zm00001eb032370,gata9,GATA
Zm00001eb178500,cadtfr3,NF-YB
Zm00001eb312600,myb162,MYB
Zm00001eb023160,mybr43,MYB_related
Zm00001eb053830,ca2p16,NF-YA
Zm00001eb403500,glk30,G2-like
Zm00001eb248780,gata3,GATA
Zm00001eb392530,TIDP2890,bHLH
Zm00001eb374830,ereb207,ERF
Zm00001eb139480,bzip8,bZIP
Zm00001eb035640,arftf1,ARF
Zm00001eb102580,bhlh23,bHLH
Zm00001eb295800,hb3,HB-other
Zm00001eb101190,bhlh33,bHLH
Zm00001eb330830,c3h20,C3H
Zm00001eb407120,e2f11,E2F/DP
Zm00001eb216910,c3h27,C3H
Zm00001eb364730,c3h49,C3H
Zm00001eb051120,wrky102,WRKY
Zm00001eb103730,myb31,MYB
Zm00001eb411700,bzip37,bZIP
Zm00001eb431760,bzip113,bZIP
Zm00001eb195850,gl3,MYB
Zm00001eb332400,pif3,bHLH
Zm00001eb031210,bzip111,bZIP
Zm00001eb307550,ereb177,ERF
Zm00001eb045640,arftf2,ARF
Zm00001eb032670,bhlh115,bHLH
Zm00001eb270270,hb60,HD-ZIP
Zm00001eb078490,col11,CO-like
Zm00001eb006180,ereb180,ERF
Zm00001eb423100,npi264,ERF
Zm00001eb204110,bhlh24,bHLH
Zm00001eb248800,dbb7,DBB
Zm00001eb107280,mterf8,mTERF
Zm00001eb292980,lbd33,LBD
Zm00001eb298580,wrky85,WRKY
Zm00001eb358700,hsftf25,HSF
Zm00001eb321620,mterf26,mTERF
Zm00001eb185560,tcptf25,TCP
Zm00001eb147710,myb34,MYB
Zm00001eb250540,ereb10,ERF
Zm00001eb198030,c2,non_TF
Zm00001eb280600,col10,CO-like
Zm00001eb000880,thx18,Trihelix
Zm00001eb075250,thx12,Trihelix
Zm00001eb103330,hb126,HD-ZIP
Zm00001eb220250,thx19,Trihelix
Zm00001eb315850,bzip74,bZIP
Zm00001eb006160,ereb179,ERF
Zm00001eb048440,hb49,HD-ZIP
Zm00001eb326210,gras11,GRAS
Zm00001eb123060,ra2,LBD
Zm00001eb015120,myb75,MYB
Zm00001eb349060,zmm29,M-type_MADS
Zm00001eb025650,hb121,HD-ZIP
Zm00001eb398670,lbd42,LBD
Zm00001eb370010,bhlh79,bHLH
Zm00001eb025220,wrky60,WRKY
Zm00001eb172020,cadtfr5,NF-YB
Zm00001eb136360,mterf10,mTERF
Zm00001eb295810,nactf87,NAC
Zm00001eb412510,bzip107,bZIP
Zm00001eb207450,arftf16,ARF
Zm00001eb315870,bhlh86,bHLH
Zm00001eb102440,sbp5,SBP
Zm00001eb395380,nactf29,NAC
Zm00001eb143990,mterf11,mTERF
Zm00001eb179290,kan3,G2-like
Zm00001eb157450,hmg4,HMG_box
Zm00001eb316660,bhlh146,bHLH
Zm00001eb035050,mybr103,MYB_related
Zm00001eb427600,dbb12,DBB
Zm00001eb189510,dof9,Dof
Zm00001eb031300,cpp2,CPP
Zm00001eb127840,c3h12,C3H
Zm00001eb335900,gl26,non_TF
Zm00001eb379300,mybr69,MYB_related
Zm00001eb427470,yab14,YABBY
Zm00001eb271500,znfn1,C2H2
Zm00001eb131420,gata27,GATA
Zm00001eb197370,abi40,B3
Zm00001eb249440,ereb30,ERF
Zm00001eb249450,ereb66,ERF
Zm00001eb159390,hsftf23,HSF
Zm00001eb080700,nactf32,NAC
Zm00001eb163680,zhd9,ZF-HD
Zm00001eb354920,c3h7,C3H
Zm00001eb098330,wrky38,WRKY
Zm00001eb336500,myb76,MYB
Zm00001eb391130,mybst1,MYB_related
Zm00001eb254990,mterf19,mTERF
Zm00001eb375580,ereb122,ERF
Zm00001eb015570,nactf11,NAC
Zm00001eb413920,wrky33,WRKY
Zm00001eb012440,dof30,Dof
Zm00001eb035740,mterf2,mTERF
Zm00001eb258400,nactf104,NAC
Zm00001eb212930,bhlh159,bHLH
Zm00001eb279120,bzip125,bZIP
Zm00001eb286420,mads58,M-type_MADS
Zm00001eb152810,bzip53,bZIP
Zm00001eb385610,bzip80,bZIP
Zm00001eb186480,ereb5,ERF
Zm00001eb349120,nactf88,NAC
Zm00001eb191020,nactf26,NAC
Zm00001eb157950,ereb208,ERF
Zm00001eb256070,ereb136,ERF
Zm00001eb365420,arr7,ARR-B
Zm00001eb385190,gata29,GATA
Zm00001eb287710,mterf22,mTERF
Zm00001eb360750,abi33,RAV
Zm00001eb372490,tcptf9,TCP
Zm00001eb186200,thx16,Trihelix
Zm00001eb223300,hb98,HD-ZIP
Zm00001eb124630,myb81,MYB
Zm00001eb379950,col4,CO-like
Zm00001eb002660,nactf53,NAC
Zm00001eb101280,hb54,HD-ZIP
Zm00001eb061300,bhlh17,bHLH
Zm00001eb337410,mybr24,MYB_related
Zm00001eb370720,bzip20,bZIP
Zm00001eb010050,cchh25,C2H2
Zm00001eb234620,thx13,Trihelix
Zm00001eb357780,mybr35,MYB_related
Zm00001eb104260,nlp17,Nin-like
Zm00001eb270470,why1,Whirly
Zm00001eb023330,gata16,GATA
Zm00001eb372660,ereb31,ERF
Zm00001eb015440,eil3,EIL
Zm00001eb248270,tcptf16,TCP
Zm00001eb319390,hb128,HD-ZIP
Zm00001eb202140,hb6,TALE
Zm00001eb145340,nactf95,NAC
Zm00001eb248900,thx20,Trihelix
Zm00001eb069140,bzip27,bZIP
Zm00001eb254600,tcptf26,TCP
Zm00001eb129490,myb128,MYB_related
Zm00001eb216410,col8,CO-like
Zm00001eb391280,gata28,GATA
Zm00001eb028160,bzip45,bZIP
Zm00001eb058460,glk44,G2-like
