"gene","total_umi","detected_spots","pass_minimum_100_reads"
"Zm00001eb062210",1068,999,TRUE
"Zm00001eb065150",19,19,FALSE
"Zm00001eb006930",1197,1093,TRUE
"Zm00001eb041580",53,53,FALSE
"Zm00001eb030620",0,0,FALSE
"Zm00001eb053940",5806,4486,TRUE
"Zm00001eb030040",0,0,FALSE
"Zm00001eb034980",1898,1741,TRUE
"Zm00001eb040300",1,1,FALSE
"Zm00001eb036760",23591,11726,TRUE
"Zm00001eb049680",0,0,FALSE
"Zm00001eb022750",129,129,TRUE
"Zm00001eb031350",2,2,FALSE
"Zm00001eb040890",52797,16416,TRUE
"Zm00001eb029210",270,267,TRUE
"Zm00001eb043060",3164,2765,TRUE
"Zm00001eb045320",34617,14145,TRUE
"Zm00001eb019390",1821,1542,TRUE
"Zm00001eb019580",278,258,TRUE
"Zm00001eb033530",0,0,FALSE
"Zm00001eb055530",0,0,FALSE
"Zm00001eb010070",2315,2095,TRUE
"Zm00001eb039410",14530,9385,TRUE
"Zm00001eb006550",8953,6011,TRUE
"Zm00001eb064270",4437,3700,TRUE
"Zm00001eb009540",20186,9470,TRUE
"Zm00001eb033720",1,1,FALSE
"Zm00001eb005240",7,7,FALSE
"Zm00001eb035120",0,0,FALSE
"Zm00001eb031910",7914,5578,TRUE
"Zm00001eb051840",20796,11243,TRUE
"Zm00001eb035330",3,3,FALSE
"Zm00001eb004180",894,833,TRUE
"Zm00001eb051790",2,2,FALSE
"Zm00001eb065400",489,365,TRUE
"Zm00001eb034000",8993,6239,TRUE
"Zm00001eb061640",9281,6659,TRUE
"Zm00001eb007470",5778,4452,TRUE
"Zm00001eb014810",5195,4245,TRUE
"Zm00001eb055180",7868,5957,TRUE
"Zm00001eb039340",6543,5029,TRUE
"Zm00001eb034200",79,75,FALSE
"Zm00001eb019990",7,7,FALSE
"Zm00001eb056560",1,1,FALSE
"Zm00001eb017960",3,2,FALSE
"Zm00001eb032070",1079,922,TRUE
"Zm00001eb019050",720,557,TRUE
"Zm00001eb052160",0,0,FALSE
"Zm00001eb040930",0,0,FALSE
"Zm00001eb054970",467,383,TRUE
"Zm00001eb036450",85,83,FALSE
"Zm00001eb003350",27059,12644,TRUE
"Zm00001eb008550",61170,16571,TRUE
"Zm00001eb046710",233,228,TRUE
"Zm00001eb023510",4699,3946,TRUE
"Zm00001eb025820",1,1,FALSE
"Zm00001eb033030",137496,18542,TRUE
"Zm00001eb054630",2,2,FALSE
"Zm00001eb024200",57402,16201,TRUE
"Zm00001eb034620",0,0,FALSE
"Zm00001eb053680",13223,8463,TRUE
"Zm00001eb033840",0,0,FALSE
"Zm00001eb022540",0,0,FALSE
"Zm00001eb058280",3019,2671,TRUE
"Zm00001eb000120",137,136,TRUE
"Zm00001eb010860",3028,2615,TRUE
"Zm00001eb009880",5091,4215,TRUE
"Zm00001eb009650",2,2,FALSE
"Zm00001eb043770",25050,11913,TRUE
"Zm00001eb023810",15048,9143,TRUE
"Zm00001eb024420",0,0,FALSE
"Zm00001eb011840",45948,15610,TRUE
"Zm00001eb030470",7933,5352,TRUE
"Zm00001eb044250",2,2,FALSE
"Zm00001eb058720",610,540,TRUE
"Zm00001eb004310",13137,8630,TRUE
"Zm00001eb064110",33,33,FALSE
"Zm00001eb035180",323,228,TRUE
"Zm00001eb058810",2033,1851,TRUE
"Zm00001eb007120",19,19,FALSE
"Zm00001eb062250",135608,18703,TRUE
"Zm00001eb052110",2070,1882,TRUE
"Zm00001eb041560",3810,3247,TRUE
"Zm00001eb057080",833,758,TRUE
"Zm00001eb027690",101,89,TRUE
"Zm00001eb040760",24,24,FALSE
"Zm00001eb025690",5636,3345,TRUE
"Zm00001eb022180",5702,4248,TRUE
"Zm00001eb029400",0,0,FALSE
"Zm00001eb022990",164,159,TRUE
"Zm00001eb056630",118,115,TRUE
"Zm00001eb060240",0,0,FALSE
"Zm00001eb040080",0,0,FALSE
"Zm00001eb005940",1721,1478,TRUE
"Zm00001eb000250",0,0,FALSE
"Zm00001eb046210",9270,5878,TRUE
"Zm00001eb055590",16637,8681,TRUE
"Zm00001eb022680",7588,5677,TRUE
"Zm00001eb027020",3,3,FALSE
"Zm00001eb035320",12374,7918,TRUE
"Zm00001eb045580",4156,2862,TRUE
"Zm00001eb046040",10042,7131,TRUE
"Zm00001eb018680",0,0,FALSE
"Zm00001eb063040",4446,3739,TRUE
"Zm00001eb060490",74,71,FALSE
"Zm00001eb005250",99,96,FALSE
"Zm00001eb028900",0,0,FALSE
"Zm00001eb062420",14101,8730,TRUE
"Zm00001eb020720",2986,2633,TRUE
"Zm00001eb040250",5759,4662,TRUE
"Zm00001eb028090",0,0,FALSE
"Zm00001eb004070",2,2,FALSE
"Zm00001eb052930",1880,1742,TRUE
"Zm00001eb001130",5971,4824,TRUE
"Zm00001eb040590",0,0,FALSE
"Zm00001eb060540",2,2,FALSE
"Zm00001eb051460",4034,3242,TRUE
"Zm00001eb038150",13,13,FALSE
"Zm00001eb049150",1309,1209,TRUE
"Zm00001eb010640",1033,947,TRUE
"Zm00001eb026100",10,10,FALSE
"Zm00001eb034790",4,4,FALSE
"Zm00001eb041270",4579,3778,TRUE
"Zm00001eb060880",5938,4734,TRUE
"Zm00001eb012040",1314,1212,TRUE
"Zm00001eb036140",9438,6740,TRUE
"Zm00001eb050440",1,1,FALSE
"Zm00001eb039980",23871,12166,TRUE
"Zm00001eb041630",4281,3635,TRUE
"Zm00001eb045610",1,1,FALSE
"Zm00001eb036400",0,0,FALSE
"Zm00001eb052380",0,0,FALSE
"Zm00001eb011240",91,89,FALSE
"Zm00001eb013700",6149,4965,TRUE
"Zm00001eb041870",1,1,FALSE
"Zm00001eb006510",11260,7683,TRUE
"Zm00001eb028960",7,7,FALSE
"Zm00001eb003540",11316,7869,TRUE
"Zm00001eb060040",11627,7862,TRUE
"Zm00001eb056350",9987,6633,TRUE
"Zm00001eb013930",13,13,FALSE
"Zm00001eb040830",971,861,TRUE
"Zm00001eb065310",1982,1838,TRUE
"Zm00001eb060340",9533,6889,TRUE
"Zm00001eb055860",5160,4206,TRUE
"Zm00001eb057370",15651,8567,TRUE
"Zm00001eb001430",26984,12183,TRUE
"Zm00001eb034690",3760,3196,TRUE
"Zm00001eb009600",73,73,FALSE
"Zm00001eb049980",2048,1810,TRUE
"Zm00001eb025550",3,3,FALSE
"Zm00001eb063060",0,0,FALSE
"Zm00001eb019870",100,97,TRUE
"Zm00001eb055690",0,0,FALSE
"Zm00001eb058540",74,73,FALSE
"Zm00001eb018840",148,145,TRUE
"Zm00001eb026790",0,0,FALSE
"Zm00001eb038930",28162,11460,TRUE
"Zm00001eb014130",16536,9105,TRUE
"Zm00001eb054390",3813,3198,TRUE
"Zm00001eb038320",222,208,TRUE
"Zm00001eb015010",128605,18962,TRUE
"Zm00001eb048580",3975,3233,TRUE
"Zm00001eb052700",496,477,TRUE
"Zm00001eb002720",0,0,FALSE
"Zm00001eb023280",26,25,FALSE
"Zm00001eb003770",3,3,FALSE
"Zm00001eb000290",0,0,FALSE
"Zm00001eb048550",3452,2995,TRUE
"Zm00001eb001250",29,28,FALSE
"Zm00001eb058610",1235,1140,TRUE
"Zm00001eb020160",666,641,TRUE
"Zm00001eb053040",1360,1221,TRUE
"Zm00001eb023860",20830,10985,TRUE
"Zm00001eb053210",8368,6087,TRUE
"Zm00001eb006450",8146,6213,TRUE
"Zm00001eb043600",18,18,FALSE
"Zm00001eb031430",7502,5709,TRUE
"Zm00001eb051760",1,1,FALSE
"Zm00001eb027530",18,18,FALSE
"Zm00001eb004730",134598,18465,TRUE
"Zm00001eb004420",42236,15217,TRUE
"Zm00001eb054210",38374,14761,TRUE
"Zm00001eb046580",83074,16247,TRUE
"Zm00001eb057690",444302,19755,TRUE
"Zm00001eb050880",6142,4961,TRUE
"Zm00001eb045990",1426,1224,TRUE
"Zm00001eb065180",60,59,FALSE
"Zm00001eb004560",210,202,TRUE
"Zm00001eb014000",4264,2205,TRUE
"Zm00001eb061910",3848,3272,TRUE
"Zm00001eb019090",5676,4227,TRUE
"Zm00001eb046950",0,0,FALSE
"Zm00001eb025210",67690,17304,TRUE
"Zm00001eb058400",0,0,FALSE
"Zm00001eb015600",0,0,FALSE
"Zm00001eb041220",3202,2769,TRUE
"Zm00001eb041570",0,0,FALSE
"Zm00001eb023120",1857,1661,TRUE
"Zm00001eb062180",148598,19147,TRUE
"Zm00001eb001280",8824,5764,TRUE
"Zm00001eb003120",0,0,FALSE
"Zm00001eb039490",132,101,TRUE
"Zm00001eb059780",7259,5479,TRUE
"Zm00001eb015960",15891,9698,TRUE
"Zm00001eb042190",637,536,TRUE
"Zm00001eb061150",175,162,TRUE
"Zm00001eb046940",0,0,FALSE
"Zm00001eb041430",6924,4617,TRUE
"Zm00001eb035640",15086,9252,TRUE
"Zm00001eb037580",34,34,FALSE
"Zm00001eb062050",9029,6521,TRUE
"Zm00001eb026550",132,131,TRUE
"Zm00001eb021590",112,104,TRUE
"Zm00001eb059070",3163,2721,TRUE
"Zm00001eb021420",5,5,FALSE
"Zm00001eb008030",25,25,FALSE
"Zm00001eb004810",0,0,FALSE
"Zm00001eb009990",398,389,TRUE
"Zm00001eb002010",1455,1258,TRUE
"Zm00001eb058520",6907,5321,TRUE
"Zm00001eb052850",7949,5330,TRUE
"Zm00001eb039170",0,0,FALSE
"Zm00001eb015290",25885,12331,TRUE
"Zm00001eb001260",23264,11273,TRUE
"Zm00001eb032750",3031,2648,TRUE
"Zm00001eb031040",200,183,TRUE
"Zm00001eb055430",592,553,TRUE
"Zm00001eb034830",266603,19654,TRUE
"Zm00001eb011080",233,200,TRUE
"Zm00001eb039630",14429,8935,TRUE
"Zm00001eb049850",3575,2963,TRUE
"Zm00001eb012400",0,0,FALSE
"Zm00001eb063980",309908,19638,TRUE
"Zm00001eb023970",5134,3918,TRUE
"Zm00001eb009530",0,0,FALSE
"Zm00001eb029900",7,7,FALSE
"Zm00001eb053230",2410,2102,TRUE
"Zm00001eb013460",9233,6502,TRUE
"Zm00001eb031130",3083,2672,TRUE
"Zm00001eb042020",1674,941,TRUE
"Zm00001eb024270",15630,9336,TRUE
"Zm00001eb054890",970,903,TRUE
"Zm00001eb010380",0,0,FALSE
"Zm00001eb050430",15,15,FALSE
"Zm00001eb058170",24,24,FALSE
"Zm00001eb011640",2945,2556,TRUE
"Zm00001eb008810",775,695,TRUE
"Zm00001eb031490",0,0,FALSE
"Zm00001eb044280",81,80,FALSE
"Zm00001eb002290",117,115,TRUE
"Zm00001eb065470",0,0,FALSE
"Zm00001eb063360",14418,9012,TRUE
"Zm00001eb062490",5479,4395,TRUE
"Zm00001eb054680",22042,10391,TRUE
"Zm00001eb007870",4202,2938,TRUE
"Zm00001eb051110",18321,10405,TRUE
"Zm00001eb047100",2,2,FALSE
"Zm00001eb045250",19071,10399,TRUE
"Zm00001eb017480",0,0,FALSE
"Zm00001eb020590",11705,8033,TRUE
"Zm00001eb003690",25239,11746,TRUE
"Zm00001eb010200",21463,11321,TRUE
"Zm00001eb051170",2933,2566,TRUE
"Zm00001eb061530",5767,4645,TRUE
"Zm00001eb036530",338672,19699,TRUE
"Zm00001eb014440",0,0,FALSE
"Zm00001eb009890",23716,10408,TRUE
"Zm00001eb056530",7742,5729,TRUE
"Zm00001eb052630",5806,4721,TRUE
"Zm00001eb044770",0,0,FALSE
"Zm00001eb048320",100,96,TRUE
"Zm00001eb051350",703,661,TRUE
"Zm00001eb036070",0,0,FALSE
"Zm00001eb034810",86,83,FALSE
"Zm00001eb032480",50,49,FALSE
"Zm00001eb002740",4133,3430,TRUE
"Zm00001eb005530",9515,6838,TRUE
"Zm00001eb063640",143,142,TRUE
"Zm00001eb038460",16,16,FALSE
"Zm00001eb058440",0,0,FALSE
"Zm00001eb065450",2244,2015,TRUE
"Zm00001eb030360",0,0,FALSE
"Zm00001eb031880",107,102,TRUE
"Zm00001eb010490",42,41,FALSE
"Zm00001eb048200",1,1,FALSE
"Zm00001eb057220",0,0,FALSE
"Zm00001eb045590",0,0,FALSE
"Zm00001eb036830",0,0,FALSE
"Zm00001eb036050",15118,9245,TRUE
"Zm00001eb028610",43,42,FALSE
"Zm00001eb046930",0,0,FALSE
"Zm00001eb064820",867,820,TRUE
"Zm00001eb057770",150,144,TRUE
"Zm00001eb007350",0,0,FALSE
"Zm00001eb013240",11505,7685,TRUE
"Zm00001eb047580",32,32,FALSE
"Zm00001eb011720",4894,4048,TRUE
"Zm00001eb007270",2727,2418,TRUE
