,SAM,P1_P2,P3,P4,P5
Zm00001eb388300,1.8778684248807354,-0.9173788766620303,-0.6456374578614383,-0.4451868217755389,0.1303347314182707
Zm00001eb294030,1.7890336280904993,-0.5101121530436022,-1.2351317020605987,0.05758836751157066,-0.10137814049788232
Zm00001eb357490,1.8944406002611196,-0.5835959490273692,-1.012679093236709,-0.16551878360071376,-0.13264677439632763
Zm00001eb419680,1.8792928314340906,-0.3714439633380205,-1.1203640407978863,-0.19379815439597034,-0.1936866729022121
Zm00001eb148320,1.876571129386312,-0.33499479961042006,-1.0979666277489988,-0.04526338128033838,-0.39834632074655707
Zm00001eb199530,1.8976576784109098,-0.4637037888452513,-1.021982299118053,-0.04081010633453597,-0.3711614841130692
Zm00001eb339390,1.801638412188418,-0.7844355829981012,-0.9271431991874065,0.3258542420676237,-0.4159138720705302
Zm00001eb142180,1.8647569662794088,-1.0137165399981791,-0.5262639771324271,0.12515880519502168,-0.44993525434383397
Zm00001eb121110,1.8403996007458119,-1.024035989872752,-0.6198525777182415,0.18525293994572214,-0.3817639731005378
Zm00001eb362090,1.8596634785028623,-0.956594559965551,-0.7107759550567482,0.13066604478553234,-0.3229590082660981
Zm00001eb074570,1.8921699719644882,-0.9600775805085288,-0.6833632476943368,-0.12792931754150128,-0.12079982622012148
Zm00001eb067340,1.6862978155604211,-1.1696932487278344,-0.8393522338271769,0.03563167586753599,0.287115991127062
Zm00001eb320340,1.6858417144475737,-0.9019024979237095,-1.1265955838311283,0.08026420742941338,0.26239215987785364
Zm00001eb144290,1.7310837718605994,-1.3665384533912053,-0.23761367329619795,-0.2524176037287104,0.12548595855551467
Zm00001eb273580,1.754719841225155,-1.2463814374835291,-0.47572139455926754,-0.2814959960211495,0.24887898683879303
Zm00001eb415640,1.868189985219497,-1.0964621069346072,-0.3220223176397157,-0.45159173648853634,0.0018861758433625607
Zm00001eb139160,1.8781951515677546,-1.0762667813982616,-0.3366324898146001,-0.4476609939086224,-0.01763488644627052
Zm00001eb148850,1.7953285757533741,-1.1614743812700836,0.08301638364758485,-0.6447298348464096,-0.07214074328447224
Zm00001eb184050,1.730444209151911,-1.0559237064914588,-0.14312002473940427,-0.8694018993993475,0.3380014214783066
Zm00001eb092090,1.7168916427680392,-0.3135229572062837,0.02371650859568668,-1.3973327307550665,-0.029752463402377718
Zm00001eb178550,1.7887688901913814,-0.07429737886770679,-0.1914224009488238,-1.3084724160869163,-0.2145766942879352
Zm00001eb340550,1.6806907484704119,0.35814051793730706,-0.986534875796581,-1.0360987171250757,-0.016197673486061027
Zm00001eb075520,1.8913217892646164,0.14008177720416656,-0.8004217653761704,-0.665219591207241,-0.5657622098853704
Zm00001eb428800,1.893511532482395,0.11848072068700867,-0.7503684937692505,-0.4864576909859382,-0.7751660684142163
Zm00001eb106790,1.8276434637877752,0.322514705759677,-0.7003089538399225,-0.6405456149990981,-0.8093036007084317
Zm00001eb041290,1.821271437956704,0.3415412656985583,-0.6684512942424577,-0.7854871621425596,-0.7088742472702453
Zm00001eb362740,1.7909967175094679,0.4016084811599677,-0.5942075141099733,-0.7830551608003535,-0.815342523759109
Zm00001eb152940,1.764333251142891,0.4632599171607623,-0.640088648811715,-0.7568764545175527,-0.8306280649743849
Zm00001eb138730,1.7721571098603788,0.42435714198906055,-0.7035510892505018,-0.9334662817296269,-0.5594968808693079
Zm00001eb274800,1.7729426674335953,0.42704071637360624,-0.8918199654195808,-0.7620676092636594,-0.5460958091239618
Zm00001eb157860,1.7796327681413704,0.38187402820580607,-1.0144404979402726,-0.5661383264338018,-0.580927971973102
Zm00001eb303810,1.6546073791901852,0.5569778682427429,-0.29613093773591986,-1.0799440449749913,-0.8355102647220171
Zm00001eb361790,1.7376390638712267,0.4474150250215952,-0.38223889311729625,-0.9694237453181508,-0.8333914504573744
Zm00001eb158680,1.7080791659051562,0.5019711168328523,-0.3741169107455271,-0.8669695058648516,-0.9689638661276296
Zm00001eb051330,1.67088371714083,0.504663611798215,-0.2418400910337776,-0.8542397385346583,-1.0794674993706095
Zm00001eb227100,1.682566209084443,0.5136275784525047,-0.30827674356211104,-0.8256205956628031,-1.0622964483120338
Zm00001eb042240,1.6467213823803204,0.5777756887245775,-0.2946913659250321,-0.9121491261474186,-1.0176565790324485
Zm00001eb376740,1.6854569987800496,0.3609907275179591,-0.061090894876111204,-0.8278035716081721,-1.15755325981373
Zm00001eb349730,1.6678778438399793,0.4392872893416181,-0.10527493083414083,-0.9290244043573896,-1.0728657979900653
Zm00001eb425230,1.7381310163952837,0.29335003507641133,-0.09025249037252864,-0.9545417646707456,-0.9866867964284219
Zm00001eb074730,1.8822742407982966,-0.14447157273578642,-0.0491469329396417,-0.7811727798827851,-0.9074829552400818
Zm00001eb239380,1.879453969251899,-0.07335045027810858,-0.12113421589027612,-0.7240823405823478,-0.9608869625011668
Zm00001eb308280,1.832402686652614,0.011805003624928744,-0.060739490409183805,-0.7366658243719124,-1.0468023754964357
Zm00001eb413890,1.7907235182825454,0.1271780374730947,-0.04406249751334916,-0.8380329373354629,-1.035806120906831
Zm00001eb006890,1.8107817492181504,0.08709708707835111,-0.05108119684954592,-0.9760462551591946,-0.8707513842877618
Zm00001eb425660,1.7728186808546516,0.19456921886500395,-0.07411552730439065,-1.050375027583384,-0.8428973448318795
Zm00001eb169410,1.886357499231881,-0.01475392061187192,-0.2258934558489883,-0.9574450859551638,-0.6882650368158563
Zm00001eb361390,1.858387445381259,0.1591853492836587,-0.3783088200386625,-0.9506765882129355,-0.6885873864133194
Zm00001eb060670,1.8666722404402094,0.13255465432332925,-0.3422961223105774,-0.8920561980136734,-0.7648745744392892
Zm00001eb100610,1.8277252714881709,0.24881909856495843,-0.36541572046957677,-0.8558006229992072,-0.8553280265843525
Zm00001eb187880,1.872032133325848,0.13572805420415954,-0.3777886170234032,-0.7604619940466696,-0.8695095764599344
Zm00001eb051910,1.777231672706215,0.37867091855046525,-0.43458560245203376,-0.7429189871380422,-0.9783980016666042
Zm00001eb067270,1.831827955411893,0.24022200081229275,-0.4525208244862282,-0.6220316022882931,-0.9974975294496651
Zm00001eb250620,1.8516009781401548,0.19980962782684653,-0.4629857618694199,-0.6272582786274602,-0.9611665654701206
Zm00001eb303220,1.8939451365307276,0.05426855858547088,-0.3949291116917163,-0.6221896427434362,-0.9310949406810495
Zm00001eb029300,1.891778664677981,0.020194856864391993,-0.2982131777725789,-0.6849717458713405,-0.9287885978984504
Zm00001eb004190,1.8595625504887205,0.07832742847477912,-0.2861011432034702,-0.6139570548982288,-1.0378317808617994
Zm00001eb271970,1.8315084581397507,0.1446405978469442,-0.26114393206123554,-0.6503330366708209,-1.0646720872546331
Zm00001eb324300,1.8030940288152664,0.18435646520492516,-0.20676069288628923,-0.6821544241590243,-1.0985353769748736
Zm00001eb073790,1.8804452110532455,-0.07888811251716764,-0.2550152010307185,-0.45960408661713276,-1.086937810888225
Zm00001eb306220,1.8032036147703716,-0.7260809234771904,0.10839075187973382,-0.08937138251873132,-1.096142060654189
Zm00001eb343660,1.798212272862626,-0.5951575905791011,0.10386851881339736,-0.13029467302000675,-1.1766285280769069
Zm00001eb427580,1.8746887191250214,-0.502038346176866,-0.05425802437293662,-0.23406291297200169,-1.0843294356032172
Zm00001eb379550,1.8827750993368355,-0.6690470466564394,0.06942277650246388,-0.3420120426950723,-0.9411387864877842
Zm00001eb355110,1.894771470121567,-0.7048266866499695,0.06399660761594485,-0.3792002918715967,-0.87474109921595
Zm00001eb278870,1.879188216555446,-0.4856271851287148,0.08351872073094681,-0.47877054571678407,-0.9983092064408912
Zm00001eb317100,1.8980862540847738,-0.3395172026511977,-0.04262075110768602,-0.5019170392453992,-1.0140312610804887
Zm00001eb388060,1.8979487262853119,-0.3221832852571127,-0.06780981318826315,-0.47791142284601107,-1.0300442049939267
Zm00001eb101700,1.660120857206934,0.221164841209184,-0.06247029244843156,-0.39117147569548816,-1.4276439302721995
Zm00001eb030510,1.697254326577745,0.2745033352834291,-0.17286317461401912,-0.4544285335845193,-1.3444659536626373
Zm00001eb145420,1.6883640400079019,0.20902349901549347,0.08278047223413777,-0.7270718744632997,-1.2530961367942335
Zm00001eb220000,1.7329589257976892,0.04697276615198686,0.0826881615434719,-0.5755479070161896,-1.2870719464769615
Zm00001eb031670,1.7381838045309483,0.05567223426152391,0.0816176132511775,-0.6135027134959657,-1.2619709385476812
Zm00001eb143060,1.7544527681408477,0.04820617837352413,0.03886173191576577,-0.5872470636328699,-1.2542736147972722
Zm00001eb312850,1.782522297005677,0.05762471243476574,-0.0717752373096333,-0.5302278332759316,-1.2381439388548783
Zm00001eb097990,1.7458883540357741,0.12415176841873099,-0.05553636044200912,-0.5283297550153842,-1.2861740069971084
Zm00001eb280500,1.730502762498426,0.2168601010467466,-0.08711151298897,-0.5981046471481055,-1.2621467034080962
Zm00001eb427790,1.749694694885434,-0.05440938259917285,0.18658389195095978,-0.6859064721886272,-1.1959627320485906
Zm00001eb244380,1.6574165158509906,-0.0485415233064458,0.2459835638336025,-0.44273547394841845,-1.4121230824297302
Zm00001eb112080,1.8391958315033514,-0.19084910041607026,-0.04095504372662302,-0.42461539024969835,-1.1827762971109619
Zm00001eb337450,1.800201340196511,-0.24031613375567756,0.10036759546795414,-0.43438029973013575,-1.2258725021786514
Zm00001eb100750,1.7694246576871437,-0.18714857560178158,0.03969600379797452,-0.3024886019407087,-1.3194834839426322
Zm00001eb313820,1.7586869223673771,-0.32654561198851817,0.06272198028153034,-0.16470267887470416,-1.330160611785685
Zm00001eb429450,1.7285429984864134,-0.33577063498902143,0.36571611195241016,-0.547952787958841,-1.210535687490961
Zm00001eb053870,1.752223630702177,-0.352202657538291,0.36618495114860444,-0.6466367552197498,-1.1195691690927423
Zm00001eb074810,1.7190229596117563,-0.29467371280955085,0.4333894779686268,-0.7793627689920466,-1.0783759557787824
Zm00001eb406000,1.8277823041235288,-1.1187117646879479,-0.026153284771868,-0.04665033910152951,-0.6362669155621836
Zm00001eb106620,1.834002620351743,-0.48119531128721543,-0.3832888003608863,0.142931787123437,-1.112450295827078
Zm00001eb094740,1.8967679559635997,-0.7026296841807019,-0.3736624342947019,0.05471849501087835,-0.8751943324990723
Zm00001eb296770,1.8596739765840093,-0.5075233738263876,-0.7331721940625183,0.21725747313332716,-0.8362358818284301
Zm00001eb234690,1.6279428739852488,-0.10539591712082629,-0.8221457033564428,-1.1920703269421113,0.49166907343412997
Zm00001eb369560,1.7141282011288732,-0.40408202967319756,-0.7746926016658192,-1.027621478267662,0.49226790847780383
Zm00001eb118760,1.7245597414542502,-0.334264486133915,-1.127265114957275,-0.6832586178082952,0.42022847744523356
Zm00001eb333750,1.4447193061085573,-0.7522014297232761,-1.1627449300606563,-0.4298852033466607,0.9001122570220383
Zm00001eb292830,1.5423840365865702,-0.9647522474040352,-0.993279599889293,-0.3477472736970129,0.7633950844037716
Zm00001eb100770,1.6374742684185377,-0.9453490120826831,-0.8356306079157462,-0.5267529047060913,0.6702582562859828
Zm00001eb356490,1.377218274601525,-0.8271674958934268,-1.4058957804216423,0.2326208380955927,0.6232241636179733
Zm00001eb416530,1.3986227541213434,-1.0290383316129545,-1.2581429244428288,0.3841012661234699,0.5044572358109733
Zm00001eb355240,1.5777846648714997,-0.8165326471984617,-1.2884162981634557,0.4134192862899897,0.1137449942004207
Zm00001eb042020,1.6260080522013083,-1.374041026588958,-0.4962038473654,0.4320095213787696,-0.18777269962572044
Zm00001eb259870,1.5693072661096754,-1.477351018674537,-0.45522148822814684,0.3835004623474119,-0.02023522155440331
Zm00001eb146420,1.5726823277973732,-1.4288016358174074,-0.607779308715143,0.16791990140220997,0.2959787153329628
Zm00001eb340790,1.607876973597538,-1.4957102673613025,-0.30204393332203794,-0.08989268189331642,0.2797699089791161
Zm00001eb314500,1.4428640536297168,-1.6751192522818477,-0.17300935080377183,0.20841588906221106,0.19684866039369237
Zm00001eb172100,1.5129836171805973,-1.6281626397421738,-0.1089663240191934,0.004898131715084249,0.2192472148656797
Zm00001eb067160,1.451645711138255,-1.6768621393710454,0.018953611833930024,-0.06895386246880529,0.2752166788676725
Zm00001eb060810,1.5271566113946038,-1.629708402092632,0.0964988633871923,0.038472611703522695,-0.03241968439268612
Zm00001eb215910,1.6145204564745042,-1.5408629038850699,-0.1092132482053821,0.0748110387028031,-0.03925534308685057
Zm00001eb126430,1.510744412524325,-1.2650673577347784,-0.7016752622219804,-0.28236377905221066,0.7383619864846422
Zm00001eb275820,1.5081926815597921,-1.4114731779881817,-0.5143734547751196,-0.22780836461601758,0.6454623158195283
Zm00001eb278470,1.4170145629314121,-1.5397640308349814,-0.44541714549367933,-0.07743666093644404,0.6456032743336937
Zm00001eb403880,1.3556822596282303,-1.6736851609702625,-0.17573206162255273,-0.07572725543099555,0.5694622183955816
Zm00001eb428890,1.6557281728948012,-1.35307163991713,-0.1830052306701184,-0.4997757751507125,0.380124472843162
Zm00001eb203940,1.6882929735955152,-1.0216464180986045,0.14217281976771523,-1.0202822110135192,0.21146283574889793
Zm00001eb197620,1.7299743609175255,-0.9786640902701436,-0.4708126627228429,0.4876051964143502,-0.7681028043388854
Zm00001eb049650,1.6104592148322072,-0.6148061188242849,-0.27623024983548633,0.5604371483131653,-1.2798599944856006
Zm00001eb037670,1.6806748447000723,-0.9925524558583441,0.12387933228781046,0.2440576761206653,-1.0560593972502041
Zm00001eb420370,1.7226243838481947,-0.7215680138560626,0.517630406268831,-0.5463189366437354,-0.9723678396172243
Zm00001eb389540,1.6823979513265435,-0.6371234476073874,0.526893823605426,-0.432433828015406,-1.1397344993091691
Zm00001eb301520,1.6443530653446903,-0.7573826163081909,0.541208307957367,-0.261474279632934,-1.1667044773609303
Zm00001eb075080,1.5559732572401688,-0.903248350546932,0.6990031352395705,-0.2510700078028702,-1.1006580341299401
Zm00001eb135750,1.6015884522186419,-1.14386054263623,0.543368993345582,-0.09425414848619097,-0.9068427544418028
Zm00001eb089380,1.6442604436062995,-1.3831736784895061,0.3905722836969782,-0.2300127670449547,-0.42164628176882246
Zm00001eb361210,1.4227385996753903,-0.020293709835394875,0.7747880235591316,-1.0389426140359197,-1.1382902993632034
Zm00001eb292900,1.4862630701876105,-0.0612498156370602,-0.009933979807594858,0.23743316261341205,-1.6525124373563727
Zm00001eb407810,1.534977698349237,-0.02401862608256316,-0.009082408642218027,0.11951193231979579,-1.621388595944239
Zm00001eb136060,1.5136629590582784,-0.17604442825462066,0.35763383509009855,-0.10164007261371434,-1.5936122932800398
Zm00001eb229950,1.3846796559219094,-0.08075251599326029,0.6128746603371193,-0.30133874112417885,-1.6154630591415875
Zm00001eb035370,1.2821299227963652,-0.03612597825519437,0.6220478240980412,-0.15201387221808757,-1.7160378964211274
Zm00001eb243910,1.6194640860041762,0.2485644410838179,0.24141589437335312,-0.9274581641620139,-1.1819862572993347
Zm00001eb176740,1.5228788757856773,0.4537926725250668,0.22458142251700897,-1.0713177502010671,-1.1299352206266828
Zm00001eb159750,1.488699168848215,0.42887932662843525,0.3174334644074837,-1.1442835183191997,-1.0907284415649343
Zm00001eb092810,1.4321381755403246,0.6187340733161074,0.17144038146464044,-0.9275536533624903,-1.2947589769585863
Zm00001eb316800,1.3638111883686235,0.5299568563050083,0.34885275587489983,-0.7875496325619064,-1.4550711679866282
Zm00001eb047760,1.5121140413549432,0.20437620889608807,0.26716431941838803,-0.4292786239532611,-1.554375945716154
Zm00001eb058850,1.5942606547393228,0.3572293673742225,0.054998146935183206,-0.6065716999278361,-1.3999164691208934
Zm00001eb106720,1.613962986637629,0.22833856784683101,0.14088502523293445,-0.5693244886923429,-1.4138620910250481
Zm00001eb389900,1.6064776402583711,0.2161934581815413,0.1941387375429577,-0.6204363797592668,-1.3963734562236005
Zm00001eb183700,1.520812302720779,0.3593877948559256,0.2338833011957111,-0.6905757079620752,-1.4235076908103421
Zm00001eb206760,1.4682899908299158,0.43955007181548034,0.1981320249335445,-0.6090802423740108,-1.4968918452049371
Zm00001eb091300,1.467624234147776,0.5280908298686061,0.1195759119844125,-0.6603591759729546,-1.4549318000278422
Zm00001eb053460,1.513697612879872,0.555889314280832,0.006845863546837175,-0.6890221986524898,-1.387410592055052
