gene_id,level,gene_name,tf_family
Zm00001eb379550,2,nactf117,NAC
Zm00001eb380990,2,col6,CO-like
Zm00001eb386370,2,myb87,MYB
Zm00001eb388060,2,arid10,ARID
Zm00001eb388280,2,arr4,ARR-B
Zm00001eb415640,2,glk55,G2-like
Zm00001eb425660,2,nlp9,Nin-like
Zm00001eb429450,2,gras79,GRAS
Zm00001eb430300,2,grftf5,GRF
Zm00001eb006360,3,abi7,B3
Zm00001eb008680,3,ifa1,YABBY
Zm00001eb031560,3,bhlh163,bHLH
Zm00001eb033590,3,mbd119,MBD
Zm00001eb041450,3,myb78,MYB
Zm00001eb042020,3,wrky25,WRKY
Zm00001eb043940,3,yab10,YABBY
Zm00001eb045630,3,hb69,HD-ZIP
Zm00001eb049650,3,mterf3,mTERF
Zm00001eb051370,3,abi25,B3
Zm00001eb053460,3,c3h51,C3H
Zm00001eb055700,3,gras65,GRAS
Zm00001eb058850,3,ereb184,AP2
Zm00001eb059460,3,bhlh47,bHLH
Zm00001eb062460,3,ts6,AP2
Zm00001eb074570,3,mmp33,C2H2
Zm00001eb076420,3,arftf5,ARF
Zm00001eb076640,3,ras18A1,NAC
Zm00001eb082150,3,abi17,ARF
Zm00001eb091300,3,myb64,MYB
Zm00001eb101700,3,wrky71,WRKY
Zm00001eb101920,3,sbp23,SBP
Zm00001eb110960,3,bbx7,CO-like
Zm00001eb118760,3,wrky93,WRKY
Zm00001eb120590,3,ereb103,ERF
Zm00001eb123570,3,bhlh104,bHLH
Zm00001eb143110,3,sbp22,SBP
Zm00001eb143690,3,vp1,B3
Zm00001eb145150,3,ig1,LBD
Zm00001eb147970,3,hb48,HB-other
Zm00001eb159750,3,bhlh166,bHLH
Zm00001eb164360,3,umc2278,C2H2
Zm00001eb168120,3,zhd1,ZF-HD
Zm00001eb176840,3,nactf92,NAC
Zm00001eb179440,3,umc1511,AT_hook
Zm00001eb183700,3,nactf101,NAC
Zm00001eb186770,3,gras80,GRAS
Zm00001eb193790,3,tu1,MIKC_MADS
Zm00001eb243450,3,mybr28,MYB_related
Zm00001eb253150,3,col5,CO-like
Zm00001eb258240,3,bhlh168,bHLH
Zm00001eb267130,3,cchh4,C2H2
Zm00001eb281570,3,cpp12,CPP
Zm00001eb296770,3,tsh1,GATA
Zm00001eb312620,3,zhd2,ZF-HD
Zm00001eb316800,3,mybr82,MYB_related
Zm00001eb317100,3,mbd108,MBD
Zm00001eb324660,3,c3h32,C3H
Zm00001eb327230,3,ca2p15,NF-YA
Zm00001eb330690,3,abi32,B3
Zm00001eb331880,3,dlf1,bZIP
Zm00001eb335690,3,mybr21,MYB
Zm00001eb355110,3,phd17,zf-MIZ
Zm00001eb360260,3,nactf134,NAC
Zm00001eb360340,3,e2f9,E2F/DP
Zm00001eb361210,3,smh3,MYB_related
Zm00001eb369560,3,ereb83,ERF
Zm00001eb399030,3,mybr54,MYB_related
Zm00001eb400130,3,drl2,YABBY
Zm00001eb402580,3,nactf39,NAC
Zm00001eb402950,3,gata10,GATA
Zm00001eb405850,3,lbd44,LBD
Zm00001eb406000,3,wrky63,WRKY
Zm00001eb408800,3,arftf28,ARF
Zm00001eb408860,3,nactf67,NAC
Zm00001eb416980,3,hb18,HD-ZIP
Zm00001eb430240,3,zfl1,LFY
Zm00001eb001670,4,zag6,MIKC_MADS
Zm00001eb004670,4,hsftf13,HSF
Zm00001eb008010,4,bnlg1953,C2H2
Zm00001eb019780,4,ca2p3,NF-YA
Zm00001eb032780,4,hb84,TALE
Zm00001eb036990,4,bhlh173,bHLH
Zm00001eb047760,4,hsftf24,HSF
Zm00001eb055620,4,chb101b,MYB_related
Zm00001eb058480,4,dof25,Dof
Zm00001eb060810,4,bzip41,bZIP
Zm00001eb070520,4,bhlh148,bHLH
Zm00001eb074730,4,ereb6,ERF
Zm00001eb075080,4,thx32,Trihelix
Zm00001eb092480,4,ns1,WOX
Zm00001eb095690,4,myb139,MYB
Zm00001eb097990,4,hb131,HB-other
Zm00001eb100610,4,gbptf8,GeBP
Zm00001eb104790,4,grftf2,GRF
Zm00001eb106790,4,myb141,MYB
Zm00001eb108930,4,ca2p4,NF-YA
Zm00001eb123510,4,smh5,MYB_related
Zm00001eb133000,4,arftf8,ARF
Zm00001eb143060,4,camta3,CAMTA
Zm00001eb144290,4,arr6,ARR-B
Zm00001eb145660,4,zmm16,MIKC_MADS
Zm00001eb179960,4,zhd7,ZF-HD
Zm00001eb184050,4,fea2,non_TF
Zm00001eb189840,4,bzip97,bZIP
Zm00001eb219990,4,mybr99,MYB_related
Zm00001eb220000,4,mybr99,MYB_related
Zm00001eb228170,4,bzip83,bZIP
Zm00001eb232120,4,arftf20,ARF
Zm00001eb250280,4,glk20,G2-like
Zm00001eb255670,4,mads73,MIKC_MADS
Zm00001eb288890,4,mybr13,MYB_related
Zm00001eb290900,4,abi45,B3
Zm00001eb292830,4,arftf23,ARF
Zm00001eb292900,4,voz1,VOZ
Zm00001eb321680,4,camta2,CAMTA
Zm00001eb339390,4,nlp4,Nin-like
Zm00001eb353320,4,hox1,HB-PHD
Zm00001eb380460,4,conz1,CO-like
Zm00001eb382780,4,mads47,M-type_MADS
Zm00001eb388300,4,bhlh69,bHLH
Zm00001eb399440,4,ereb161,AP2
Zm00001eb408640,4,c3h54,C3H
Zm00001eb413100,4,ca5p5,NF-YC
Zm00001eb420370,4,mbd113,MBD
Zm00001eb427380,4,mybr113,MYB
Zm00001eb024680,5,ocl4,HD-ZIP
Zm00001eb036170,5,bbr1,BBR-BPC
Zm00001eb037670,5,hb129,HD-ZIP
Zm00001eb052150,5,bhlh114,bHLH
Zm00001eb057410,5,hxa102,MYB_related
Zm00001eb066770,5,thx35,Trihelix
Zm00001eb071990,5,zfl2,LFY
Zm00001eb089380,5,e2f5,E2F/DP
Zm00001eb100770,5,hsftf1,HSF
Zm00001eb126430,5,fea3,non_TF
Zm00001eb127850,5,c3h35,C3H
Zm00001eb135750,5,cpp10,CPP
Zm00001eb148320,5,myb15,MYB
Zm00001eb151240,5,mrpi2,C2H2
Zm00001eb162130,5,c3h22,C3H
Zm00001eb170540,5,arftf13,ARF
Zm00001eb171080,5,abi14,B3
Zm00001eb178550,5,wrky97,WRKY
Zm00001eb185110,5,nactf17,NAC
Zm00001eb218880,5,wrky109,WRKY
Zm00001eb229950,5,bhlh129,bHLH
Zm00001eb237460,5,myb157,MYB
Zm00001eb252640,5,arid5,ARID
Zm00001eb256730,5,grf9,GRF
Zm00001eb259870,5,abi49,B3
Zm00001eb274340,5,ca5p3,NF-YC
Zm00001eb275820,5,bhlh142,bHLH
Zm00001eb288060,5,bzip34,bZIP
Zm00001eb288420,5,nactf112,NAC
Zm00001eb301280,5,hsftf4,HSF
Zm00001eb308280,5,cadtfr16,NF-YB
Zm00001eb311020,5,gpm18,C3H
Zm00001eb315330,5,bhlh107,bHLH
Zm00001eb315910,5,bhlh106,bHLH
Zm00001eb319390,5,hb128,HD-ZIP
Zm00001eb329910,5,ddt4,non_TF
Zm00001eb331250,5,bzip92,bZIP
Zm00001eb340550,5,thx47,Trihelix
Zm00001eb355240,5,rap2,AP2
Zm00001eb369190,5,myb74,MYB
Zm00001eb369280,5,obf4,bZIP
Zm00001eb372960,5,mads74,M-type_MADS
Zm00001eb373300,5,bzip100,bZIP
Zm00001eb373670,5,grftf12,GRF
Zm00001eb385620,5,hb87,HB-other
Zm00001eb389900,5,ca5p7,NF-YC
Zm00001eb403880,5,nactf57,NAC
Zm00001eb405630,5,IDP103,C3H
Zm00001eb428890,5,glk41,G2-like
Zm00001eb005020,6,hb64,TALE
Zm00001eb008690,6,zmm14,MIKC_MADS
Zm00001eb021750,6,bzip78,bZIP
Zm00001eb035030,6,ub2,SBP
Zm00001eb038320,6,bhlh170,bHLH
Zm00001eb041850,6,hmga102,AT_hook
Zm00001eb055990,6,bhlh27,bHLH
Zm00001eb067340,6,GRMZM2G046968,C3H
Zm00001eb071190,6,ereb97,ERF
Zm00001eb079510,6,mybr93,MYB_related
Zm00001eb088080,6,abi28,B3
Zm00001eb092230,6,TIDP3698,Pseudo_ARR-B
Zm00001eb093560,6,wri1,AP2
Zm00001eb102090,6,mbd111,MBD
Zm00001eb102260,6,bhlh121,bHLH
Zm00001eb102440,6,sbp5,SBP
Zm00001eb136060,6,hb25,HD-ZIP
Zm00001eb138920,6,myb8,MYB
Zm00001eb142180,6,ldp1,HB-other
Zm00001eb150840,6,ereb147,ERF
Zm00001eb171720,6,ocl5a,HD-ZIP
Zm00001eb187040,6,hmg3,HMG_box
Zm00001eb227240,6,c3h29,C3H
Zm00001eb229050,6,arid7,ARID
Zm00001eb234690,6,myb50,MYB
Zm00001eb246010,6,nactf13,NAC
Zm00001eb248590,6,myb89,MYB
Zm00001eb251390,6,glk47,G2-like
Zm00001eb252180,6,zhd12,ZF-HD
Zm00001eb264080,6,gbptf1,GeBP
Zm00001eb273580,6,myb56,MYB
Zm00001eb278670,6,grftf11,GRF
Zm00001eb284910,6,mybr62,MYB
Zm00001eb299300,6,ereb114,AP2
Zm00001eb315610,6,bhlh105,bHLH
Zm00001eb316660,6,bhlh146,bHLH
Zm00001eb325760,6,wrky1,WRKY
Zm00001eb332590,6,bzip72,bZIP
Zm00001eb332860,6,myb60,MYB
Zm00001eb333750,6,c3h42,C3H
Zm00001eb340140,6,ereb148,ERF
Zm00001eb340790,6,gata2,GATA
Zm00001eb352580,6,ereb92,ERF
Zm00001eb358260,6,c3h46,C3H
Zm00001eb370960,6,wrky111,WRKY
Zm00001eb404260,6,rld1,HD-ZIP
Zm00001eb419680,6,tcptf40,TCP
Zm00001eb428400,6,bhlh134,bHLH
Zm00001eb429720,6,sbp21,SBP
Zm00001eb429870,6,ereb2,ERF
Zm00001eb432090,6,ereb156,ERF
Zm00001eb005690,7,nfya1,NF-YA
Zm00001eb058460,7,glk44,G2-like
Zm00001eb058610,7,IDP2395,G2-like
Zm00001eb069140,7,bzip27,bZIP
Zm00001eb074930,7,ereb198,ERF
Zm00001eb116410,7,bhlh73,bHLH
Zm00001eb122470,7,gl13,non_TF
Zm00001eb128760,7,myb43,MYB
Zm00001eb139160,7,gata31,GATA
Zm00001eb146420,7,rz538b,C2H2
Zm00001eb152350,7,tcptf30,TCP
Zm00001eb170530,7,bhlh130,bHLH
Zm00001eb184870,7,toc1,Pseudo_ARR-B
Zm00001eb187720,7,bhlh13,bHLH
Zm00001eb194220,7,ereb17,ERF
Zm00001eb194770,7,e2f13,E2F/DP
Zm00001eb218120,7,lbd26,LBD
Zm00001eb218610,7,ca2p10,NF-YA
Zm00001eb227830,7,dbb5,DBB
Zm00001eb245040,7,myb126,MYB
Zm00001eb248560,7,myb26,MYB
Zm00001eb249290,7,ereb195,ERF
Zm00001eb255160,7,ereb18,ERF
Zm00001eb255490,7,bhlh161,bHLH
Zm00001eb278470,7,bhlh5,bHLH
Zm00001eb291730,7,ereb196,ERF
Zm00001eb303620,7,nactf4,NAC
Zm00001eb309600,7,hb55,HB-other
Zm00001eb311180,7,ereb109,ERF
Zm00001eb312160,7,myb159,MYB
Zm00001eb312600,7,myb162,MYB
Zm00001eb314500,7,hb11,HD-ZIP
Zm00001eb316310,7,wrky52,WRKY
Zm00001eb320340,7,mterf25,mTERF
Zm00001eb330680,7,bzip58,bZIP
Zm00001eb349860,7,mterf27,mTERF
Zm00001eb353470,7,gata32,GATA
Zm00001eb363140,7,gras2,GRAS
Zm00001eb363810,7,arftf25,ARF
Zm00001eb373390,7,gbptf4,GeBP
Zm00001eb378820,7,si606013h03,GRF
Zm00001eb403750,7,mads1,M-type_MADS
Zm00001eb416530,7,mybr26,MYB_related
Zm00001eb419910,7,pco088744,C3H
Zm00001eb428940,7,nkd2,C2H2
Zm00001eb002310,8,glk48,G2-like
Zm00001eb006180,8,ereb180,ERF
Zm00001eb009550,8,hb45,HD-ZIP
Zm00001eb019090,8,umc2227,bHLH
Zm00001eb023160,8,mybr43,MYB_related
Zm00001eb025220,8,wrky60,WRKY
Zm00001eb025650,8,hb121,HD-ZIP
Zm00001eb031210,8,bzip111,bZIP
Zm00001eb032370,8,gata9,GATA
Zm00001eb032670,8,bhlh115,bHLH
Zm00001eb033910,8,ca5p13,NF-YC
Zm00001eb041610,8,bhlh42,bHLH
Zm00001eb045640,8,arftf2,ARF
Zm00001eb048440,8,hb49,HD-ZIP
Zm00001eb051900,8,hb33,HB-other
Zm00001eb055830,8,bhlh137,bHLH
Zm00001eb056760,8,bhlh103,bHLH
Zm00001eb058370,8,TIDP3413,C2H2
Zm00001eb061300,8,bhlh17,bHLH
Zm00001eb066260,8,myb133,MYB
Zm00001eb067160,8,c3h16,C3H
Zm00001eb075250,8,thx12,Trihelix
Zm00001eb078490,8,col11,CO-like
Zm00001eb085420,8,camta1,CAMTA
Zm00001eb092090,8,bzip23,bZIP
Zm00001eb101040,8,bhlh169,bHLH
Zm00001eb101190,8,bhlh33,bHLH
Zm00001eb101980,8,umc2380,AT_hook
Zm00001eb107920,8,wrky116,WRKY
Zm00001eb113220,8,bhlh96,bHLH
Zm00001eb118010,8,glk27,G2-like
Zm00001eb123060,8,ra2,LBD
Zm00001eb124630,8,myb81,MYB
Zm00001eb124790,8,mads54,M-type_MADS
Zm00001eb128000,8,nactf66,NAC
Zm00001eb130510,8,ereb193,ERF
Zm00001eb135400,8,wrky110,WRKY
Zm00001eb136350,8,gras50,GRAS
Zm00001eb136360,8,mterf10,mTERF
Zm00001eb139970,8,ereb141,ERF
Zm00001eb142540,8,arftf10,ARF
Zm00001eb145040,8,mads53,M-type_MADS
Zm00001eb148850,8,ca3p1,NF-YB
Zm00001eb163680,8,zhd9,ZF-HD
Zm00001eb169130,8,bzip119,bZIP
Zm00001eb172020,8,cadtfr5,NF-YB
Zm00001eb172100,8,mybr83,MYB_related
Zm00001eb175150,8,tga1,SBP
Zm00001eb180800,8,thx34,Trihelix
Zm00001eb181510,8,e2f16,E2F/DP
Zm00001eb186480,8,ereb5,ERF
Zm00001eb188380,8,bhlh11,bHLH
Zm00001eb197620,8,ca5p9,NF-YC
Zm00001eb198030,8,c2,non_TF
Zm00001eb201290,8,nactf125,NAC
Zm00001eb211700,8,dof33,Dof
Zm00001eb212930,8,bhlh159,bHLH
Zm00001eb215190,8,wrky113,WRKY
Zm00001eb215910,8,chb101a,MYB_related
Zm00001eb219100,8,lbd27,LBD
Zm00001eb221620,8,arftf17,ARF
Zm00001eb228320,8,bhlh127,bHLH
Zm00001eb246440,8,mterf17,mTERF
Zm00001eb248800,8,dbb7,DBB
Zm00001eb249730,8,IDP7496,MYB_related
Zm00001eb250540,8,ereb10,ERF
Zm00001eb253280,8,dof42,Dof
Zm00001eb270270,8,hb60,HD-ZIP
Zm00001eb286490,8,wrky83,WRKY
Zm00001eb289490,8,bhlh118,bHLH
Zm00001eb292980,8,lbd33,LBD
Zm00001eb294030,8,hdt103,C2H2
Zm00001eb300940,8,cchh7,non_TF
Zm00001eb307550,8,ereb177,ERF
Zm00001eb315850,8,bzip74,bZIP
Zm00001eb317060,8,nactf79,NAC
Zm00001eb320200,8,grftf3,GRF
Zm00001eb320820,8,nactf18,NAC
Zm00001eb321620,8,mterf26,mTERF
Zm00001eb326210,8,gras11,GRAS
Zm00001eb332400,8,pif3,bHLH
Zm00001eb343660,8,hb29,HB-other
Zm00001eb353990,8,cchh1,C2H2
Zm00001eb356490,8,hdt102,C2H2
Zm00001eb357490,8,smh1,MYB_related
Zm00001eb362090,8,gata17,GATA
Zm00001eb365420,8,arr7,ARR-B
Zm00001eb370720,8,bzip20,bZIP
Zm00001eb373970,8,arftf27,ARF
Zm00001eb376730,8,dbb11,DBB
Zm00001eb381600,8,c3h5,C3H
Zm00001eb384950,8,mads71,M-type_MADS
Zm00001eb388050,8,bzip60,bZIP
Zm00001eb391190,8,dbf2,ERF
Zm00001eb397720,8,gras1,GRAS
Zm00001eb402220,8,hb22,HD-ZIP
Zm00001eb403500,8,glk30,G2-like
Zm00001eb411700,8,bzip37,bZIP
Zm00001eb415730,8,nactf61,NAC
Zm00001eb423100,8,npi264,ERF
Zm00001eb427470,8,yab14,YABBY
Zm00001eb000880,9,thx18,Trihelix
Zm00001eb002660,9,nactf53,NAC
Zm00001eb006160,9,ereb179,ERF
Zm00001eb010050,9,cchh25,C2H2
Zm00001eb012280,9,gras67,GRAS
Zm00001eb012440,9,dof30,Dof
Zm00001eb015440,9,eil3,EIL
Zm00001eb015570,9,nactf11,NAC
Zm00001eb022070,9,abi34,B3
Zm00001eb023330,9,gata16,GATA
Zm00001eb028160,9,bzip45,bZIP
Zm00001eb031310,9,cpp5,CPP
Zm00001eb035050,9,mybr103,MYB_related
Zm00001eb042400,9,hb112,HD-ZIP
Zm00001eb056630,9,gata34,GATA
Zm00001eb060980,9,myb80,MYB
Zm00001eb061430,9,hb65,HB-other
Zm00001eb062640,9,dof27,Dof
Zm00001eb062820,9,mterf5,mTERF
Zm00001eb071590,9,wrky50,WRKY
Zm00001eb073130,9,gras52,GRAS
Zm00001eb080690,9,myb49,MYB
Zm00001eb080700,9,nactf32,NAC
Zm00001eb089580,9,c3h10,C3H
Zm00001eb098330,9,wrky38,WRKY
Zm00001eb099550,9,zhd20,ZF-HD
Zm00001eb101280,9,hb54,HD-ZIP
Zm00001eb101360,9,bhlh151,bHLH
Zm00001eb102580,9,bhlh23,bHLH
Zm00001eb103330,9,hb126,HD-ZIP
Zm00001eb104260,9,nlp17,Nin-like
Zm00001eb105640,9,sbp13,SBP
Zm00001eb106630,9,ms32,bHLH
Zm00001eb107170,9,c3h15,C3H
Zm00001eb107280,9,mterf8,mTERF
Zm00001eb107800,9,hb107,HD-ZIP
Zm00001eb113710,9,ca5p8,NF-YC
Zm00001eb117830,9,ereb41,AP2
Zm00001eb120750,9,bzr2,BES1
Zm00001eb121110,9,mybr22,MYB_related
Zm00001eb121380,9,nactf16,NAC
Zm00001eb122500,9,d1,non_TF
Zm00001eb127840,9,c3h12,C3H
Zm00001eb128310,9,dof6,Dof
Zm00001eb128930,9,dof8,Dof
Zm00001eb129490,9,myb128,MYB_related
Zm00001eb131420,9,gata27,GATA
Zm00001eb135200,9,glk42,G2-like
Zm00001eb136750,9,gl6,non_TF
Zm00001eb136980,9,bzip48,bZIP
Zm00001eb141310,9,gras4,GRAS
Zm00001eb142960,9,tcptf8,TCP
Zm00001eb143430,9,c3h13,C3H
Zm00001eb143990,9,mterf11,mTERF
Zm00001eb144450,9,bhlh132,bHLH
Zm00001eb145340,9,nactf95,NAC
Zm00001eb147710,9,myb34,MYB
Zm00001eb148820,9,pco075454,C3H
Zm00001eb152810,9,bzip53,bZIP
Zm00001eb153520,9,voz4,VOZ
Zm00001eb157080,9,thx17,Trihelix
Zm00001eb157950,9,ereb208,ERF
Zm00001eb159390,9,hsftf23,HSF
Zm00001eb160100,9,c3h2,C3H
Zm00001eb160120,9,umc2152,C2H2
Zm00001eb169140,9,pco137632,NAC
Zm00001eb171050,9,ereb209,ERF
Zm00001eb179000,9,hb7,HD-ZIP
Zm00001eb179290,9,kan3,G2-like
Zm00001eb181970,9,yy1,C2H2
Zm00001eb185560,9,tcptf25,TCP
Zm00001eb185920,9,myb166,MYB
Zm00001eb186200,9,thx16,Trihelix
Zm00001eb188410,9,zhd17,ZF-HD
Zm00001eb190120,9,gl4,non_TF
Zm00001eb191020,9,nactf26,NAC
Zm00001eb193550,9,ereb13,ERF
Zm00001eb195850,9,gl3,MYB
Zm00001eb197370,9,abi40,B3
Zm00001eb202140,9,hb6,TALE
Zm00001eb202410,9,thx38,Trihelix
Zm00001eb203350,9,gbptf14,GeBP
Zm00001eb204110,9,bhlh24,bHLH
Zm00001eb207450,9,arftf16,ARF
Zm00001eb208830,9,bzip71,bZIP
Zm00001eb209880,9,thx21,Trihelix
Zm00001eb212120,9,nactf6,NAC
Zm00001eb215740,9,bhlh18,bHLH
Zm00001eb215870,9,gras55,GRAS
Zm00001eb216410,9,col8,CO-like
Zm00001eb217350,9,hb37,TALE
Zm00001eb217440,9,cl53605_1,GRF
Zm00001eb219490,9,qm1,MYB_related
Zm00001eb220250,9,thx19,Trihelix
Zm00001eb223300,9,hb98,HD-ZIP
Zm00001eb224800,9,nactf113,NAC
Zm00001eb225570,9,arftf19,ARF
Zm00001eb229400,9,thx22,Trihelix
Zm00001eb233310,9,glk53,G2-like
Zm00001eb233790,9,col18,CO-like
Zm00001eb234620,9,thx13,Trihelix
Zm00001eb235510,9,bzip61,bZIP
Zm00001eb248680,9,nactf10,NAC
Zm00001eb248900,9,thx20,Trihelix
Zm00001eb249440,9,ereb30,ERF
Zm00001eb249450,9,ereb66,ERF
Zm00001eb250580,9,c3h34,C3H
Zm00001eb252100,9,bhlh29,bHLH
Zm00001eb254600,9,tcptf26,TCP
Zm00001eb254990,9,mterf19,mTERF
Zm00001eb255860,9,ereb139,ERF
Zm00001eb256070,9,ereb136,ERF
Zm00001eb256290,9,gbptf17,GeBP
Zm00001eb258290,9,gata24,GATA
Zm00001eb270470,9,why1,Whirly
Zm00001eb271500,9,znfn1,C2H2
Zm00001eb273020,9,zim20,GATA
Zm00001eb274210,9,mybr77,MYB_related
Zm00001eb279120,9,bzip125,bZIP
Zm00001eb279580,9,tcptf10,TCP
Zm00001eb280600,9,col10,CO-like
Zm00001eb282210,9,bhlh123,bHLH
Zm00001eb284250,9,c3h39,C3H
Zm00001eb286420,9,mads58,M-type_MADS
