gene_id,gene_name,tf_family,archived_level
Zm00001eb221620,arftf17,ARF,6
Zm00001eb219490,qm1,MYB_related,6
Zm00001eb130510,ereb193,ERF,6
Zm00001eb291730,ereb196,ERF,6
Zm00001eb303620,nactf4,NAC,6
Zm00001eb419910,pco088744,C3H,6
Zm00001eb074930,ereb198,ERF,6
Zm00001eb148820,pco075454,C3H,6
Zm00001eb169130,bzip119,bZIP,6
Zm00001eb170530,bhlh130,bHLH,6
Zm00001eb242030,thx45,Trihelix,6
Zm00001eb243450,mybr28,MYB_related,6
Zm00001eb287060,srs6,SRS,6
Zm00001eb324660,c3h32,C3H,6
Zm00001eb120750,bzr2,BES1,6
Zm00001eb126140,ocl1,HD-ZIP,6
Zm00001eb171080,abi14,B3,6
Zm00001eb088080,abi28,B3,6
Zm00001eb332860,myb60,MYB,6
Zm00001eb329910,ddt4,non_TF,6
Zm00001eb071990,zfl2,LFY,6
Zm00001eb113710,ca5p8,NF-YC,6
Zm00001eb315910,bhlh106,bHLH,6
Zm00001eb429720,sbp21,SBP,6
Zm00001eb214840,mybr106,MYB_related,6
Zm00001eb327230,ca2p15,NF-YA,6
Zm00001eb299300,ereb114,AP2,6
Zm00001eb142540,arftf10,ARF,6
Zm00001eb228620,hmg1,HMG_box,6
Zm00001eb359990,hb113,HB-other,6
Zm00001eb264080,gbptf1,GeBP,6
Zm00001eb251390,glk47,G2-like,6
Zm00001eb255160,ereb18,ERF,6
Zm00001eb005690,nfya1,NF-YA,6
Zm00001eb315330,bhlh107,bHLH,6
Zm00001eb405630,IDP103,C3H,6
Zm00001eb315610,bhlh105,bHLH,6
Zm00001eb032780,hb84,TALE,6
Zm00001eb248590,myb89,MYB,6
Zm00001eb138920,myb8,MYB,7
Zm00001eb366690,bzip44,bZIP,7
Zm00001eb052150,bhlh114,bHLH,7
Zm00001eb340140,ereb148,ERF,7
Zm00001eb370960,wrky111,WRKY,7
Zm00001eb403750,mads1,M-type_MADS,7
Zm00001eb278670,grftf11,GRF,7
Zm00001eb317060,nactf79,NAC,7
Zm00001eb367660,myb36,MYB,7
Zm00001eb183200,mads39,MIKC_MADS,7
Zm00001eb337810,nfd110,HMG_box,7
Zm00001eb264930,lip15,bZIP,7
Zm00001eb038320,bhlh170,bHLH,7
Zm00001eb119340,myb117,MYB,7
Zm00001eb019090,umc2227,bHLH,7
Zm00001eb316310,wrky52,WRKY,7
Zm00001eb101040,bhlh169,bHLH,7
Zm00001eb170540,arftf13,ARF,7
Zm00001eb428400,bhlh134,bHLH,7
Zm00001eb424290,grf2,non_TF,7
Zm00001eb252180,zhd12,ZF-HD,7
Zm00001eb228320,bhlh127,bHLH,7
Zm00001eb246010,nactf13,NAC,7
Zm00001eb289320,myb85,MYB,7
Zm00001eb002310,glk48,G2-like,7
Zm00001eb117830,ereb41,AP2,7
Zm00001eb215190,wrky113,WRKY,7
Zm00001eb050220,mbd115,MBD,7
Zm00001eb175840,nactf12,NAC,7
Zm00001eb056760,bhlh103,bHLH,7
Zm00001eb194770,e2f13,E2F/DP,7
Zm00001eb292380,cpp4,CPP,7
Zm00001eb199970,sbp7,SBP,7
Zm00001eb101130,zhd16,ZF-HD,7
Zm00001eb118950,nlp6,Nin-like,7
Zm00001eb202260,bzip110,bZIP,7
Zm00001eb250240,iddp10,C2H2,7
Zm00001eb365080,hdt104,C2H2,7
Zm00001eb184870,toc1,Pseudo_ARR-B,7
Zm00001eb089580,c3h10,C3H,7
Zm00001eb353990,cchh1,C2H2,7
Zm00001eb188380,bhlh11,bHLH,7
Zm00001eb201290,nactf125,NAC,7
Zm00001eb225570,arftf19,ARF,7
Zm00001eb402220,hb22,HD-ZIP,7
Zm00001eb391190,dbf2,ERF,7
Zm00001eb058610,IDP2395,G2-like,7
Zm00001eb101980,umc2380,AT_hook,7
Zm00001eb055830,bhlh137,bHLH,7
Zm00001eb118010,glk27,G2-like,7
Zm00001eb143430,c3h13,C3H,7
Zm00001eb078590,nlp3,Nin-like,7
Zm00001eb121380,nactf16,NAC,7
Zm00001eb187720,bhlh13,bHLH,7
Zm00001eb092230,TIDP3698,Pseudo_ARR-B,7
Zm00001eb432450,farl15,FAR1,7
Zm00001eb403060,Zm00001eb403060,non_TF,7
Zm00001eb042400,hb112,HD-ZIP,7
Zm00001eb408520,wrky15,WRKY,7
Zm00001eb050660,hb124,HD-ZIP,8
Zm00001eb239680,hbtf2,TALE,8
Zm00001eb128760,myb43,MYB,8
Zm00001eb219100,lbd27,LBD,8
Zm00001eb182260,arftf14,ARF,8
Zm00001eb038070,ereb172,ERF,8
Zm00001eb099550,zhd20,ZF-HD,8
Zm00001eb123570,bhlh104,bHLH,8
Zm00001eb042490,cadtfr11,NF-YB,8
Zm00001eb098960,hb34,HD-ZIP,8
Zm00001eb139970,ereb141,ERF,8
Zm00001eb099960,arid2,ARID,8
Zm00001eb218610,ca2p10,NF-YA,8
Zm00001eb190840,TIDP7116,AT_hook,8
Zm00001eb111570,abi39,B3,8
Zm00001eb101410,bhlh157,bHLH,8
Zm00001eb218880,wrky109,WRKY,8
Zm00001eb104750,AY109722,C2H2,8
Zm00001eb369730,mrpi1,C2H2,8
Zm00001eb113950,grftf15,GRF,8
Zm00001eb180800,thx34,Trihelix,8
Zm00001eb207650,c3h1,C3H,8
Zm00001eb378270,bbr4,BBR-BPC,8
Zm00001eb108090,gras85,GRAS,8
Zm00001eb333470,c3h23,C3H,8
Zm00001eb288420,nactf112,NAC,8
Zm00001eb349010,nactf38,NAC,8
Zm00001eb417000,c3h24,C3H,8
Zm00001eb100410,hsftf2,HSF,8
Zm00001eb356650,phd10,zf-BED,8
Zm00001eb428940,nkd2,C2H2,8
Zm00001eb415730,nactf61,NAC,8
Zm00001eb032370,gata9,GATA,8
Zm00001eb178500,cadtfr3,NF-YB,8
Zm00001eb312600,myb162,MYB,8
Zm00001eb023160,mybr43,MYB_related,8
Zm00001eb053830,ca2p16,NF-YA,8
Zm00001eb403500,glk30,G2-like,8
Zm00001eb248780,gata3,GATA,8
Zm00001eb392530,TIDP2890,bHLH,8
Zm00001eb374830,ereb207,ERF,8
Zm00001eb139480,bzip8,bZIP,8
Zm00001eb035640,arftf1,ARF,8
Zm00001eb102580,bhlh23,bHLH,8
Zm00001eb295800,hb3,HB-other,8
Zm00001eb101190,bhlh33,bHLH,8
Zm00001eb330830,c3h20,C3H,8
Zm00001eb407120,e2f11,E2F/DP,8
Zm00001eb216910,c3h27,C3H,8
Zm00001eb364730,c3h49,C3H,8
Zm00001eb051120,wrky102,WRKY,8
Zm00001eb103730,myb31,MYB,8
Zm00001eb411700,bzip37,bZIP,8
Zm00001eb431760,bzip113,bZIP,8
Zm00001eb195850,gl3,MYB,8
Zm00001eb332400,pif3,bHLH,8
Zm00001eb031210,bzip111,bZIP,8
Zm00001eb307550,ereb177,ERF,8
Zm00001eb045640,arftf2,ARF,8
Zm00001eb032670,bhlh115,bHLH,8
Zm00001eb270270,hb60,HD-ZIP,8
Zm00001eb078490,col11,CO-like,8
Zm00001eb006180,ereb180,ERF,8
Zm00001eb423100,npi264,ERF,8
Zm00001eb204110,bhlh24,bHLH,8
Zm00001eb248800,dbb7,DBB,8
Zm00001eb107280,mterf8,mTERF,8
Zm00001eb292980,lbd33,LBD,8
Zm00001eb298580,wrky85,WRKY,8
Zm00001eb358700,hsftf25,HSF,8
Zm00001eb321620,mterf26,mTERF,8
Zm00001eb185560,tcptf25,TCP,8
Zm00001eb147710,myb34,MYB,8
Zm00001eb250540,ereb10,ERF,8
Zm00001eb198030,c2,non_TF,8
Zm00001eb280600,col10,CO-like,8
Zm00001eb000880,thx18,Trihelix,8
Zm00001eb075250,thx12,Trihelix,8
Zm00001eb103330,hb126,HD-ZIP,8
Zm00001eb220250,thx19,Trihelix,8
Zm00001eb315850,bzip74,bZIP,8
Zm00001eb006160,ereb179,ERF,8
Zm00001eb048440,hb49,HD-ZIP,8
Zm00001eb326210,gras11,GRAS,8
Zm00001eb123060,ra2,LBD,8
Zm00001eb015120,myb75,MYB,8
Zm00001eb349060,zmm29,M-type_MADS,8
Zm00001eb025650,hb121,HD-ZIP,8
Zm00001eb398670,lbd42,LBD,8
Zm00001eb370010,bhlh79,bHLH,8
Zm00001eb025220,wrky60,WRKY,8
Zm00001eb172020,cadtfr5,NF-YB,8
Zm00001eb136360,mterf10,mTERF,8
Zm00001eb295810,nactf87,NAC,8
Zm00001eb412510,bzip107,bZIP,8
Zm00001eb207450,arftf16,ARF,8
Zm00001eb315870,bhlh86,bHLH,8
Zm00001eb102440,sbp5,SBP,8
Zm00001eb395380,nactf29,NAC,8
Zm00001eb143990,mterf11,mTERF,8
Zm00001eb179290,kan3,G2-like,8
Zm00001eb157450,hmg4,HMG_box,8
Zm00001eb316660,bhlh146,bHLH,8
Zm00001eb035050,mybr103,MYB_related,9
Zm00001eb427600,dbb12,DBB,9
Zm00001eb189510,dof9,Dof,9
Zm00001eb031300,cpp2,CPP,9
Zm00001eb127840,c3h12,C3H,9
Zm00001eb335900,gl26,non_TF,9
